scope,dataset,cohort,task,field,n,present_n,missing_n,present_rate
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,reasoning_reparsed,19584,19583,1,0.9999489379084967
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,true_item_score,19584,19488,96,0.9950980392156863
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,unassessable_score9,19584,19584,0,1.0
item_deduplicated,HAMD-17,PDCH标签99人,评分,pred_item_score,67320,67320,0,1.0
item_deduplicated,HAMD-17,PDCH标签99人,评分,confidence_score,67320,67320,0,1.0
item_deduplicated,HAMD-17,PDCH标签99人,评分,evidence_text_clean,67320,62528,4792,0.9288175876411171
item_deduplicated,HAMD-17,PDCH标签99人,评分,reasoning_reparsed,67320,67319,1,0.9999851455733809
item_deduplicated,HAMD-17,PDCH标签99人,评分,true_item_score,67320,66280,1040,0.9845513963161022
item_deduplicated,HAMD-17,PDCH标签99人,评分,unassessable_score9,67320,67320,0,1.0
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,pred_item_score,36288,36288,0,1.0
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,confidence_score,36288,36288,0,1.0
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,evidence_text_clean,36288,23455,12833,0.6463569223985891
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,reasoning_reparsed,36288,36288,0,1.0
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,true_item_score,36288,36288,0,1.0
item_deduplicated,PHQ-8,DAIC-WOZ全量189人,评分,unassessable_score9,36288,36288,0,1.0
