dataset,prompt_source_variant,condition,condition_name,pathway,cleaned,structured,text_scope,baseline_condition,intended_manipulation,intended_pair,prompt_template_id,normalized_sha256,static_character_count,static_line_count,estimated_token_count,input_code_key,input_type,input_path_expression,thinking_mode_control,evidence_requirement,evidence_quote_required,explicit_scoring_anchors,negation_handling,missing_information_rule,temporal_constraint,frequency_requirement,inference_permission,speaker_restriction,abstention_permission,output_rigidity,itemwise_reasoning_requirement,uncertainty_requirement
HAMD-17,HAMD_code,C01,01_全文_不规整_等级_不清洗,direct_grade,no,no,full_text,,multiple_factor_or_reference,,PROMPT_1A06DFC3233F,1a06dfc3233f8a72d9cd6f9416f52a09daca8f4eaf0beef9053de33e922c7d65,642,22,161,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C06,06_全文_规整_等级_清洗,direct_grade,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C07,07_全文_规整_评分_不清洗,itemwise_score,no,yes,full_text,C03,standardization,C03→C07,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C07,07_全文_规整_评分_不清洗,itemwise_score,no,yes,full_text,C03,standardization,C03→C07,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C08,08_全文_规整_评分_清洗,itemwise_score,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C08,08_全文_规整_评分_清洗,itemwise_score,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C09,09_事件序列_不规整_等级_不清洗,direct_grade,no,no,event_sequence,C01,text_scope,C01→C09,PROMPT_F9B6FD25D16D,f9b6fd25d16dc755b784e14926df9956847511c71e83b27065a127ab7fbb0854,706,22,177,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C09,09_事件序列_不规整_等级_不清洗,direct_grade,no,no,event_sequence,C01,text_scope,C01→C09,PROMPT_F9B6FD25D16D,f9b6fd25d16dc755b784e14926df9956847511c71e83b27065a127ab7fbb0854,706,22,177,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C10,10_事件序列_不规整_等级_清洗,direct_grade,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_F9B6FD25D16D,f9b6fd25d16dc755b784e14926df9956847511c71e83b27065a127ab7fbb0854,706,22,177,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C10,10_事件序列_不规整_等级_清洗,direct_grade,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_F9B6FD25D16D,f9b6fd25d16dc755b784e14926df9956847511c71e83b27065a127ab7fbb0854,706,22,177,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C11,11_事件序列_不规整_评分_不清洗,itemwise_score,no,no,event_sequence,C03,text_scope,C03→C11,PROMPT_1D8CACFEAFF2,1d8cacfeaff2e908f8a6e52019aa299c0ad0f5a1fab5ce6bb6807714970077ee,2464,41,616,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C11,11_事件序列_不规整_评分_不清洗,itemwise_score,no,no,event_sequence,C03,text_scope,C03→C11,PROMPT_1D8CACFEAFF2,1d8cacfeaff2e908f8a6e52019aa299c0ad0f5a1fab5ce6bb6807714970077ee,2464,41,616,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C12,12_事件序列_不规整_评分_清洗,itemwise_score,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_1D8CACFEAFF2,1d8cacfeaff2e908f8a6e52019aa299c0ad0f5a1fab5ce6bb6807714970077ee,2464,41,616,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C12,12_事件序列_不规整_评分_清洗,itemwise_score,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_1D8CACFEAFF2,1d8cacfeaff2e908f8a6e52019aa299c0ad0f5a1fab5ce6bb6807714970077ee,2464,41,616,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C13,13_事件序列_规整_等级_不清洗,direct_grade,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C13,13_事件序列_规整_等级_不清洗,direct_grade,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C14,14_事件序列_规整_等级_清洗,direct_grade,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C14,14_事件序列_规整_等级_清洗,direct_grade,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C15,15_事件序列_规整_评分_不清洗,itemwise_score,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C15,15_事件序列_规整_评分_不清洗,itemwise_score,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C16,16_事件序列_规整_评分_清洗,itemwise_score,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C16,16_事件序列_规整_评分_清洗,itemwise_score,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_6D34E5D22513,6d34e5d22513e397d6f257c34100d0f12105e3965d497f8b02df27c5f46a3265,2400,41,600,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
PHQ-8,PHQ_docx,C01,01_全文_不规整_等级_不清洗,direct_grade,no,no,full_text,,multiple_factor_or_reference,,PROMPT_56B1BF4822F7,56b1bf4822f72ee2afabd5dc80c46e933e4bdb049a90b00703f3d6c02d41c4e7,1421,23,356,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C02,02_全文_不规整_等级_清洗,direct_grade,yes,no,full_text,C01,cleaning,C01→C02,PROMPT_56B1BF4822F7,56b1bf4822f72ee2afabd5dc80c46e933e4bdb049a90b00703f3d6c02d41c4e7,1421,23,356,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C03,03_全文_不规整_评分_不清洗,itemwise_score,no,no,full_text,,multiple_factor_or_reference,,PROMPT_9874DE0BB3FE,9874de0bb3fe24f8f6233b97dca8b4c0497274828f8f264dae6aa2e2e1a9cc3f,2454,41,614,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C04,04_全文_不规整_评分_清洗,itemwise_score,yes,no,full_text,C03,cleaning,C03→C04,PROMPT_9874DE0BB3FE,9874de0bb3fe24f8f6233b97dca8b4c0497274828f8f264dae6aa2e2e1a9cc3f,2454,41,614,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C05,05_全文_规整_等级_不清洗,direct_grade,no,yes,full_text,C01,standardization,C01→C05,PROMPT_87439E4FE0CD,87439e4fe0cd420fa2481a42ba79141f2d2bc710a360fb522331d9a084ca8e64,1421,23,356,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C06,06_全文_规整_等级_清洗,direct_grade,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_87439E4FE0CD,87439e4fe0cd420fa2481a42ba79141f2d2bc710a360fb522331d9a084ca8e64,1421,23,356,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C07,07_全文_规整_评分_不清洗,itemwise_score,no,yes,full_text,C03,standardization,C03→C07,PROMPT_861C0F2D67EE,861c0f2d67eefd5ac3a3b2bdc07e6ecf175bcd904706e5fed1b0c5ea471e0e2e,2454,41,614,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C08,08_全文_规整_评分_清洗,itemwise_score,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_861C0F2D67EE,861c0f2d67eefd5ac3a3b2bdc07e6ecf175bcd904706e5fed1b0c5ea471e0e2e,2454,41,614,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C09,09_事件序列_不规整_等级_不清洗,direct_grade,no,no,event_sequence,C01,text_scope,C01→C09,PROMPT_7219878D18E6,7219878d18e6faf67e0e998c3285294d3ee379d5518b5423db4dc9b2ee4084f3,1610,23,403,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C10,10_事件序列_不规整_等级_清洗,direct_grade,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_7219878D18E6,7219878d18e6faf67e0e998c3285294d3ee379d5518b5423db4dc9b2ee4084f3,1610,23,403,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C11,11_事件序列_不规整_评分_不清洗,itemwise_score,no,no,event_sequence,C03,text_scope,C03→C11,PROMPT_0FEEC210D42F,0feec210d42fd290c474b884858ac622eeda8eeaf092d4d0b38e50beccdfb109,2643,41,661,C2,global,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C12,12_事件序列_不规整_评分_清洗,itemwise_score,yes,no,event_sequence,,multiple_factor_or_reference,,PROMPT_0FEEC210D42F,0feec210d42fd290c474b884858ac622eeda8eeaf092d4d0b38e50beccdfb109,2643,41,661,C2_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C13,13_事件序列_规整_等级_不清洗,direct_grade,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_681A5DA7D521,681a5da7d52162bfdc7fdd661d45ffc058772132fa5b9b1a782adb6f77a58a63,1610,23,403,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C14,14_事件序列_规整_等级_清洗,direct_grade,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_681A5DA7D521,681a5da7d52162bfdc7fdd661d45ffc058772132fa5b9b1a782adb6f77a58a63,1610,23,403,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,free_text,no,confidence_required
PHQ-8,PHQ_docx,C15,15_事件序列_规整_评分_不清洗,itemwise_score,no,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_BDD97133A644,bdd97133a644b3446c601e9efaf72ba8bbbaa3376545014e38b779ec2d00185f,2643,41,661,C5,global,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
PHQ-8,PHQ_docx,C16,16_事件序列_规整_评分_清洗,itemwise_score,yes,yes,event_sequence,,multiple_factor_or_reference,,PROMPT_BDD97133A644,bdd97133a644b3446c601e9efaf72ba8bbbaa3376545014e38b779ec2d00185f,2643,41,661,C5_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,explicit_window,explicit,moderate,absent,no,free_text,yes,confidence_required
