dataset,condition,condition_id,condition_name,pathway,cleaned,structured,text_scope,itemwise_scoring,direct_grade,thinking_mode_control,thinking_mode_is_condition_factor,baseline_condition,intended_manipulation,intended_pair,input_code_key,input_type,input_root_variable,input_path_kind,input_path_expression,output_directory_expression,output_directory_name,prompt_builder_call,prompt_override_hook,runtime_prompt_source,observed_prompt_versions,observed_run_manifest_n,conditions_source_file,conditions_source_line,data_paths_source_file,data_paths_source_line,prompt_builder_source_file,prompt_builder_source_lines,dynamic_input_source_lines,thinking_source_lines,notes
HAMD-17,C11,11,11_事件序列_不规整_评分_不清洗,itemwise_score,no,no,event_sequence,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C03,text_scope,C03→C11,C2,global,BASE_DIR,path,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},11_事件序列_不规整_评分_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,350,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
HAMD-17,C12,12,12_事件序列_不规整_评分_清洗,itemwise_score,yes,no,event_sequence,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C2_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},12_事件序列_不规整_评分_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,355,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
HAMD-17,C13,13,13_事件序列_规整_等级_不清洗,direct_grade,no,yes,event_sequence,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C5,global,BASE_DIR,path,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},13_事件序列_规整_等级_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,380,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
HAMD-17,C14,14,14_事件序列_规整_等级_清洗,direct_grade,yes,yes,event_sequence,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C5_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},14_事件序列_规整_等级_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,385,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
HAMD-17,C15,15,15_事件序列_规整_评分_不清洗,itemwise_score,no,yes,event_sequence,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C5,global,BASE_DIR,path,lambda sid: BASE_DIR / 'narrative' / 'full_events' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},15_事件序列_规整_评分_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,380,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
HAMD-17,C16,16,16_事件序列_规整_评分_清洗,itemwise_score,yes,yes,event_sequence,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C5_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_events_narrative' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},16_事件序列_规整_评分_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,code_builder;docx_override,word-2026-06-25;正式使用提示词-2026-06-25,49,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,385,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C01,1,01_全文_不规整_等级_不清洗,direct_grade,no,no,full_text,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C1,global,RAW_DIR,path,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},01_全文_不规整_等级_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,340,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C02,2,02_全文_不规整_等级_清洗,direct_grade,yes,no,full_text,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C01,cleaning,C01→C02,C1_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},02_全文_不规整_等级_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,345,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C03,3,03_全文_不规整_评分_不清洗,itemwise_score,no,no,full_text,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C1,global,RAW_DIR,path,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},03_全文_不规整_评分_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,340,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C04,4,04_全文_不规整_评分_清洗,itemwise_score,yes,no,full_text,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C03,cleaning,C03→C04,C1_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},04_全文_不规整_评分_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,345,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C05,5,05_全文_规整_等级_不清洗,direct_grade,no,yes,full_text,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C01,standardization,C01→C05,C4,global,BASE_DIR,path,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},05_全文_规整_等级_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,370,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C06,6,06_全文_规整_等级_清洗,direct_grade,yes,yes,full_text,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C4_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},06_全文_规整_等级_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,375,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C07,7,07_全文_规整_评分_不清洗,itemwise_score,no,yes,full_text,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C03,standardization,C03→C07,C4,global,BASE_DIR,path,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},07_全文_规整_评分_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,370,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C08,8,08_全文_规整_评分_清洗,itemwise_score,yes,yes,full_text,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C4_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},08_全文_规整_评分_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,375,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C09,9,09_事件序列_不规整_等级_不清洗,direct_grade,no,no,event_sequence,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C01,text_scope,C01→C09,C2,global,BASE_DIR,path,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},09_事件序列_不规整_等级_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,350,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C10,10,10_事件序列_不规整_等级_清洗,direct_grade,yes,no,event_sequence,no,yes,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,,multiple_factor_or_reference,,C2_clean,global,BASE_DIR,path,lambda sid: BASE_DIR / 'denoised' / 'full_events' / f'{sid}.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},10_事件序列_不规整_等级_清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,355,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
PHQ-8,C11,11,11_事件序列_不规整_评分_不清洗,itemwise_score,no,no,event_sequence,yes,no,PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,no,C03,text_scope,C03→C11,C2,global,BASE_DIR,path,lambda sid: BASE_DIR / 'events' / 'ordered' / f'{sid}_ordered_events.txt',get_output_dir_name(cond) -> {id:02d}_{TEXT_NAME[text]}_{attr}_{output}_{clean/no-clean},11_事件序列_不规整_评分_不清洗,9eval_main.py::build_system_prompt -> word_prompt_templates.py::build_condition_prompt,word_prompt_templates.py::_PROMPT_DOCX -> prompt_docx_loader.load_prompt_docx,docx_override,PHQ8-English-24-conditions;PHQ8-word-2026-06-27;phq8-english-2026-06-27,302,_新结构_待启用/scripts/9eval_main.py,245,_新结构_待启用/scripts/9eval_main.py,350,_新结构_待启用/scripts/word_prompt_templates.py,231-274,586-598; 748-772,605-617; 665-674,clean/structured/text_scope改变输入路径或输入描述；是否真正改变固定提示词由prompt_source_variant及pairwise diff单独核验。
