condition_id,inner_mean_mae,inner_se,inner_valid_fold_n,scale,cohort,model,thinking_mode,item_id,item_name
15,0.26263157894736844,0.03307215313552159,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
16,0.2931578947368421,0.033552373580019425,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
3,0.3434454434454435,0.0991761431076793,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
4,0.3115284715284715,0.06954999180502096,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
7,0.4036297036297036,0.06325736416714059,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
8,0.4256277056277057,0.06192782544967725,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
11,0.2801243201243201,0.08594472434055214,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
12,0.3109090909090909,0.060875160155575286,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
15,0.3465201465201465,0.061012381534674406,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
16,0.3754112554112555,0.06966464927786198,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状
3,0.40315789473684216,0.07484702774544136,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
4,0.36421052631578943,0.07037001533445723,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
7,0.4631578947368421,0.0534540991900678,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
8,0.4142105263157895,0.06961807165008958,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
11,0.4342105263157895,0.07317493175342983,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
12,0.4142105263157895,0.05095758923140897,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
15,0.44421052631578944,0.05730198954259935,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
16,0.40368421052631576,0.06834813928735968,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病
3,0.261578947368421,0.04759885470816588,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
4,0.2310526315789474,0.06190869874750574,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
7,0.2805263157894737,0.10290651433471437,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
8,0.3415789473684211,0.07875590818974945,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
11,0.25157894736842107,0.040908992976742796,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
12,0.2905263157894737,0.06918901006354555,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
15,0.27210526315789474,0.053204773492964645,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
16,0.24105263157894735,0.08530781806326242,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻
3,0.28315789473684216,0.04681400694810684,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
4,0.2826315789473684,0.01916902510681506,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
7,0.2731578947368421,0.04424184354456317,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
8,0.28315789473684216,0.06664496414986953,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
11,0.2836842105263158,0.035951644964080126,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
12,0.31421052631578944,0.06170253006211723,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
15,0.3336842105263158,0.04690858676687429,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
16,0.3947368421052631,0.054904853485717345,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力
3,0.6563157894736842,0.04880568061029162,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
4,0.7684210526315789,0.07133957653403473,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
7,0.7484210526315789,0.043858245591578235,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
8,0.7663157894736843,0.09156760365315435,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
11,0.7052631578947368,0.05478489793320095,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
12,0.8394736842105264,0.05763097812712532,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
15,0.7673684210526316,0.03439827026508626,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
16,0.8389473684210526,0.067598292033694,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,1,抑郁情绪
3,0.5968421052631578,0.07142882865011065,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
4,0.5868421052631578,0.04935876911596011,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
7,0.5778947368421052,0.09707138190834395,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
8,0.6473684210526316,0.08441176612527314,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
11,0.616842105263158,0.06733243282174863,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
12,0.5873684210526315,0.07173840597592589,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
15,0.6168421052631579,0.050335439897703185,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
16,0.6684210526315789,0.07912261251775214,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,2,有罪感
3,0.5378947368421052,0.10164028690651003,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
4,0.7173684210526317,0.15610077361610258,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
7,0.9510526315789475,0.16607244022312087,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
8,0.8084210526315789,0.09391972171713363,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
11,0.5663157894736843,0.13044617658693405,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
12,0.5978947368421051,0.13979952008921387,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
15,0.7278947368421053,0.139931225687613,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
16,0.7463157894736844,0.12824891396623211,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,3,自杀
3,0.3842105263157895,0.03820777139554008,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
4,0.40421052631578946,0.027707914606768146,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
7,0.5894736842105263,0.11070474319650889,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
8,0.48473684210526313,0.048491082082701004,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
11,0.3931578947368421,0.03489795174521107,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
12,0.3942105263157895,0.019717534415714943,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
15,0.47526315789473683,0.022508847137203247,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
16,0.4542105263157895,0.0584163108554556,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,4,入睡困难
3,0.6152631578947367,0.07306317230188136,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
4,0.6157894736842106,0.01448564099423462,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
7,0.6347368421052633,0.05697474777176736,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
8,0.5542105263157895,0.08186537154482196,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
11,0.5847368421052632,0.05113260150127401,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
12,0.5657894736842105,0.057918655346262254,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
15,0.6052631578947368,0.06719034853524788,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
16,0.5363157894736842,0.05395314474852089,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,5,睡眠不深
3,0.3931578947368421,0.04967763114331319,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
4,0.3742105263157895,0.05684088692651443,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
7,0.4636842105263158,0.06050571731873646,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
8,0.4131578947368421,0.04400327361279681,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
11,0.35315789473684206,0.05177861460823303,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
12,0.40368421052631576,0.03422671681660865,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
15,0.3731578947368421,0.06363525739226253,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
16,0.38315789473684214,0.06351107391388758,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,6,早醒
3,0.5889473684210527,0.1009353760507393,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
4,0.5694736842105262,0.12470074983058542,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
7,0.6805263157894738,0.10123065459317586,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
8,0.7810526315789474,0.09523407523503642,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
11,0.5684210526315789,0.07537533046835214,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
12,0.6589473684210527,0.09861436124504033,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
15,0.6189473684210527,0.10725548756212133,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
16,0.7510526315789473,0.1057606664103285,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,7,工作和活动
3,0.5142105263157895,0.05600133555985549,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
4,0.5542105263157894,0.0721244692054766,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
7,0.7652631578947369,0.11266539089138751,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
8,0.7852631578947368,0.0702912421697168,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
11,0.5236842105263158,0.062051716434482075,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
12,0.5142105263157896,0.05372289627791426,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
15,0.7657894736842106,0.04770349325466701,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
16,0.7647368421052632,0.09427739467557643,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,8,迟滞
3,0.5247368421052633,0.08664091527359336,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
4,0.5652631578947369,0.08043510486213606,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
7,0.6557894736842105,0.03152846842664007,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
8,0.6657894736842105,0.028549902852874766,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
11,0.5552631578947368,0.043544481667101155,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
12,0.5952631578947368,0.06993467470262353,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
15,0.6252631578947367,0.036904083206885374,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
16,0.6852631578947368,0.07716227459386236,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,9,激越
3,0.6468421052631579,0.041000304032383986,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
4,0.7147368421052631,0.09621147644354068,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
7,0.6784210526315789,0.052614470903701506,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
8,0.6763157894736842,0.034911839898477896,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
11,0.7152631578947368,0.06946271843282238,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
12,0.6447368421052632,0.09834855196254895,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
15,0.5947368421052632,0.057366006709215635,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
16,0.716842105263158,0.013840203991899691,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,10,精神性焦虑
3,0.6473684210526316,0.08291770776129674,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
4,0.6668421052631579,0.06412958660490758,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
7,0.6368421052631579,0.03892602544652757,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
8,0.626315789473684,0.07501154112494328,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
11,0.6568421052631579,0.10269768451348907,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
12,0.7068421052631579,0.07665351768088131,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
15,0.5752631578947368,0.038645702279932,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
16,0.5742105263157895,0.06564932440637794,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,11,躯体性焦虑
3,0.14052631578947367,0.028750526913152972,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
4,0.17105263157894737,0.02478438879572864,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
7,0.20368421052631583,0.05281940170690974,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
8,0.24157894736842106,0.03913362292470882,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
11,0.21105263157894738,0.032298812615928964,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
12,0.20157894736842102,0.021517885365010137,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
15,0.16052631578947368,0.03273117229628656,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
16,0.1910526315789474,0.03246135567391426,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,12,胃肠道症状
3,0.33368421052631575,0.056572215021734595,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
4,0.43421052631578955,0.051034994240414244,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
7,0.38526315789473686,0.03864570227993199,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
8,0.38421052631578945,0.03820777139554008,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
11,0.34421052631578947,0.04465472339327206,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
12,0.4147368421052632,0.044352841117965114,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
15,0.41578947368421054,0.07272400678892015,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
16,0.4552631578947368,0.056207470841458,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,13,全身症状
3,0.37574092574092577,0.07130446950955921,5,HAMD-17,PDCH标签99人,Kimi-K2.6,思考,14,性症状
