scale,cohort,model,thinking_mode,condition_id,condition_full_name,scope,structure,task,cleaning,pathway,item_id,item_name,method,n,n_unique_predicted,rho,p_value,ci_low,ci_high,predicted_mean,predicted_zero_rate,predicted_positive_rate,gold_total_mean,estimability
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,10,精神性焦虑,Point-biserial,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,11,躯体性焦虑,Point-biserial,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,12,胃肠道症状,Point-biserial,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,13,全身症状,Point-biserial,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,14,性症状,Point-biserial,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,15,疑病,Point-biserial,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,16,体重减轻,Point-biserial,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,17,自知力,Point-biserial,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,1,抑郁情绪,Point-biserial,3,2,0.9773555548504419,0.13573720933030298,0.9773555548504417,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,2,有罪感,Point-biserial,3,1,,,,,0.0,1.0,0.0,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,3,自杀,Point-biserial,3,2,0.9773555548504419,0.13573720933030298,0.9773555548504417,1.0,1.0,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,4,入睡困难,Point-biserial,3,1,,,,,0.0,1.0,0.0,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,5,睡眠不深,Point-biserial,3,2,0.6719319439596788,0.5309294573363638,0.6719319439596786,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,6,早醒,Point-biserial,3,2,-0.3054236108907631,0.8024038759969696,-1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,7,工作和活动,Point-biserial,3,3,0.6719319439596788,0.5309294573363638,0.6719319439596786,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,8,迟滞,Point-biserial,3,2,0.9773555548504419,0.13573720933030298,0.9773555548504417,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,9,激越,Point-biserial,3,2,-0.6719319439596787,0.5309294573363638,-1.0,-0.6719319439596786,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,10,精神性焦虑,Point-biserial,3,2,0.9773555548504419,0.13573720933030298,0.9773555548504417,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,11,躯体性焦虑,Point-biserial,3,2,-0.6719319439596787,0.5309294573363638,-1.0,-0.6719319439596786,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,12,胃肠道症状,Point-biserial,3,2,-0.6719319439596787,0.5309294573363638,-1.0,-0.6719319439596786,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,13,全身症状,Point-biserial,3,1,,,,,0.0,1.0,0.0,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,14,性症状,Point-biserial,3,1,,,,,0.0,1.0,0.0,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,15,疑病,Point-biserial,3,2,-0.6719319439596787,0.5309294573363638,-1.0,-0.6719319439596786,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,16,体重减轻,Point-biserial,3,1,,,,,0.0,1.0,0.0,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,07_全文_规整_评分_不清洗,全文,规整,逐条评分,不清洗,逐条评分,17,自知力,Point-biserial,3,2,-0.3054236108907631,0.8024038759969696,-1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,1,抑郁情绪,Point-biserial,2,2,,,,,1.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,2,有罪感,Point-biserial,2,2,,,,,0.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,3,自杀,Point-biserial,2,2,,,,,1.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,4,入睡困难,Point-biserial,2,1,,,,,0.0,1.0,0.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,5,睡眠不深,Point-biserial,2,2,,,,,0.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,6,早醒,Point-biserial,2,2,,,,,1.5,0.0,1.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,7,工作和活动,Point-biserial,2,2,,,,,1.0,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,8,迟滞,Point-biserial,2,2,,,,,0.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,9,激越,Point-biserial,2,2,,,,,0.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,10,精神性焦虑,Point-biserial,2,2,,,,,1.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,11,躯体性焦虑,Point-biserial,2,2,,,,,1.5,0.0,1.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,12,胃肠道症状,Point-biserial,2,1,,,,,0.0,1.0,0.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,13,全身症状,Point-biserial,2,1,,,,,0.0,1.0,0.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,14,性症状,Point-biserial,2,2,,,,,1.0,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,15,疑病,Point-biserial,2,2,,,,,0.5,0.5,0.5,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,16,体重减轻,Point-biserial,2,1,,,,,0.0,1.0,0.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,08_全文_规整_评分_清洗,全文,规整,逐条评分,清洗,逐条评分,17,自知力,Point-biserial,2,1,,,,,0.0,1.0,0.0,12.5,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,1,抑郁情绪,Point-biserial,5,3,0.8401680504168059,0.0748398806017779,0.6666666666666666,1.0,1.4,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,2,有罪感,Point-biserial,5,2,0.4900980294098034,0.4019564264992582,-0.6123724356957946,0.9999999999999999,0.6,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,3,自杀,Point-biserial,5,3,0.8401680504168059,0.0748398806017779,0.6666666666666666,1.0,1.6,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,4,入睡困难,Point-biserial,5,2,0.7717436331412897,0.12633084678985834,0.6666666666666665,1.0,0.4,0.8,0.2,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,5,睡眠不深,Point-biserial,5,2,0.8401680504168059,0.0748398806017779,0.6666666666666665,1.0,0.6,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,6,早醒,Point-biserial,5,2,0.7717436331412897,0.12633084678985834,0.6666666666666665,1.0,0.2,0.8,0.2,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,7,工作和活动,Point-biserial,5,3,0.8401680504168059,0.0748398806017779,0.6666666666666666,1.0,2.2,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,8,迟滞,Point-biserial,5,3,0.8401680504168059,0.0748398806017779,0.6666666666666666,1.0,1.0,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,9,激越,Point-biserial,5,3,0.9101820546182064,0.03187419510355711,0.801783725737273,1.0,0.6,0.6,0.4,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,10,精神性焦虑,Point-biserial,5,3,0.5144957554275265,0.3750965964749236,0.25,0.9999999999999999,1.2,0.2,0.8,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,11,躯体性焦虑,Point-biserial,5,3,0.08574929257125438,0.8909545559981068,-1.0,0.9999999999999999,1.2,0.2,0.8,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,12,胃肠道症状,Point-biserial,5,2,0.14002800840280097,0.8222951725440868,-0.9185586535436917,0.9999999999999999,0.6,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,13,全身症状,Point-biserial,5,3,0.4900980294098034,0.4019564264992582,-0.6666666666666665,0.9999999999999999,0.8,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,14,性症状,Point-biserial,5,2,0.9101820546182064,0.03187419510355711,0.801783725737273,1.0,0.8,0.6,0.4,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,15,疑病,Point-biserial,5,3,-0.21004201260420152,0.7345458511273347,-0.9999999999999999,0.9128709291752768,0.8,0.4,0.6,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,16,体重减轻,Point-biserial,5,1,,,,,0.0,1.0,0.0,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,11,11_事件序列_不规整_评分_不清洗,事件序列,不规整,逐条评分,不清洗,逐条评分,17,自知力,Point-biserial,5,2,0.7717436331412897,0.12633084678985834,0.6666666666666665,1.0,0.2,0.8,0.2,13.8,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,1,抑郁情绪,Point-biserial,5,3,0.8558488538095663,0.06425992861867623,0.7649686210234,1.0,1.6,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,2,有罪感,Point-biserial,5,3,0.33540022649293816,0.581102631853691,-0.6666666666666665,0.9999999999999997,0.8,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,3,自杀,Point-biserial,5,2,0.8558488538095663,0.06425992861867623,0.7649686210234,1.0,1.8,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,4,入睡困难,Point-biserial,5,2,0.11331853993401468,0.8560277402972633,-0.6123724356957945,1.0,0.2,0.8,0.2,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,5,睡眠不深,Point-biserial,5,2,0.7633246533977214,0.1332019342930431,0.40824829046386296,1.0,0.4,0.6,0.4,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,6,早醒,Point-biserial,5,2,0.8215594145216066,0.0880226196478517,0.8148578789162304,1.0,0.4,0.8,0.2,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,7,工作和活动,Point-biserial,5,4,0.8558488538095663,0.06425992861867623,0.7649686210234001,1.0,1.8,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,8,迟滞,Point-biserial,5,3,0.8558488538095663,0.06425992861867623,0.7649686210234,1.0,1.0,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,9,激越,Point-biserial,5,3,0.7633246533977214,0.1332019342930431,0.40824829046386296,1.0,0.6,0.6,0.4,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,10,精神性焦虑,Point-biserial,5,3,0.524098247194818,0.3646481748391222,0.3707389989326631,1.0,1.2,0.2,0.8,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,11,躯体性焦虑,Point-biserial,5,3,-0.11331853993401472,0.8560277402972633,-0.9999999999999999,0.6666666666666665,1.2,0.2,0.8,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,12,胃肠道症状,Point-biserial,5,2,-0.24287602608109315,0.6938283986098651,-1.0,1.0,0.6,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,13,全身症状,Point-biserial,5,3,0.33540022649293816,0.581102631853691,-0.6666666666666666,0.9999999999999998,0.8,0.4,0.6,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,14,性症状,Point-biserial,5,2,0.7633246533977214,0.1332019342930431,0.31725552344714186,1.0,0.8,0.6,0.4,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,15,疑病,Point-biserial,5,2,-0.8558488538095663,0.06425992861867623,-1.0,-0.7649686210234,0.4,0.6,0.4,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,16,体重减轻,Point-biserial,5,1,,,,,0.0,1.0,0.0,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,12,12_事件序列_不规整_评分_清洗,事件序列,不规整,逐条评分,清洗,逐条评分,17,自知力,Point-biserial,5,1,,,,,0.0,1.0,0.0,10.4,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,15,15_事件序列_规整_评分_不清洗,事件序列,规整,逐条评分,不清洗,逐条评分,1,抑郁情绪,Point-biserial,7,2,0.6073322476341868,0.14806990318461685,0.25819888974716104,0.9885336094784052,0.5714285714285714,0.7142857142857143,0.2857142857142857,8.714285714285714,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,15,15_事件序列_规整_评分_不清洗,事件序列,规整,逐条评分,不清洗,逐条评分,2,有罪感,Point-biserial,7,2,-0.5227083734893168,0.22870466648821514,-0.9922941283328927,-0.3276927682076161,0.14285714285714285,0.8571428571428571,0.14285714285714285,8.714285714285714,不可估计
