对比类型,处理因素,量表,队列,模型,思考模式,条目编号,条目名称,参照条件编号,参照刺激条件,目标条件编号,目标刺激条件,共同被试数N,共同被试普通总分一致,共同被试校正总分一致,普通参照相关,普通目标相关,普通相关变化（目标－参照）,普通变化95%CI下限,普通变化95%CI上限,普通置换P值,校正参照相关,校正目标相关,校正相关变化（目标－参照）,校正变化95%CI下限,校正变化95%CI上限,校正置换P值,可估计性代码,可估计性,普通FDR校正q值,校正FDR校正q值,校正差异结论
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.41287707647474264,0.398613864163625,-0.014263212311117657,-0.06559569001260972,0.0,0.0004997501249375312,0.33553077157592176,0.3186354886809805,-0.016895282894941244,-0.06980280180293102,0.0,1.0,exploratory_only,探索性,0.006607807207507357,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.41287707647474264,0.41287707647474264,0.0,0.0,0.0,1.0,0.33553077157592176,0.33553077157592176,0.0,0.0,0.0,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.41287707647474264,0.46270649029347793,0.04982941381873529,-0.09885871412838645,0.24817183307210677,0.4542728635682159,0.33553077157592176,0.3896286294829483,0.054097857907026536,-0.11477153456070487,0.2394981432600682,0.4387806096951524,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.41287707647474264,0.4381707784520029,0.025293701977260274,-0.10753937156865273,0.17571836477218067,0.7211394302848576,0.33553077157592176,0.35844910074542724,0.02291832916950548,-0.13362041427209087,0.19018003326674998,0.7571214392803598,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.4901727629651677,0.5872441532515943,0.09707139028642658,-0.1686956862728547,0.3748620181734735,0.5652173913043478,0.32961374290946177,0.3892542301300759,0.0596404872206141,-0.24497835509894766,0.3623512388095687,0.7536231884057971,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.4901727629651677,0.7282529320559291,0.2380801690907614,0.011461892560031396,0.5443203293358918,0.13093453273363317,0.32961374290946177,0.5545391084310166,0.22492536552155484,-0.013933870345166745,0.5492477094331567,0.17341329335332334,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.4901727629651677,0.6598778307174141,0.16970506775224642,-0.08461934995706803,0.48212555434817367,0.375312343828086,0.32961374290946177,0.46854774010166356,0.13893399719220179,-0.2026090289169347,0.5030970251838941,0.5242378810594702,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.4901727629651677,0.5153652552913037,0.025192492326136018,-0.2135502549763585,0.3036918438951466,0.9740129935032483,0.32961374290946177,0.30676454788896235,-0.022849195020499424,-0.296166687001354,0.2672723114987942,0.8370814592703648,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.4901727629651677,0.5956042416213592,0.10543147865619146,-0.16013291197237936,0.3983124850740021,0.5602198900549725,0.32961374290946177,0.39080071302925434,0.06118697011979257,-0.24894909373560647,0.4110591404503944,0.7461269365317341,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.4901727629651677,0.5725684044219371,0.08239564145676942,-0.14079750790647558,0.3689247426684627,0.5162418790604698,0.32961374290946177,0.3832015431054016,0.05358780019593984,-0.20159213117943353,0.3423862590758712,0.6841579210394803,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,自杀,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.4901727629651677,0.5905883560452927,0.10041559308012499,-0.12428829846154422,0.34864059599291936,0.42128935532233885,0.32961374290946177,0.4120838917070114,0.0824701487975496,-0.19387842066424812,0.3963933591785129,0.6881559220389805,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.5801491354312616,0.60548669368804,0.025337558256778414,-0.005988322493979156,0.12179724361737854,1.0,0.5513121704424616,0.576915273536639,0.02560310309417735,-0.010254024809885834,0.1443750349652334,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.5801491354312616,0.6595162734715524,0.07936713804029083,-0.08072841711512126,0.26751343908201414,0.34782608695652173,0.5513121704424616,0.6462898399722681,0.09497766952980646,-0.08780881275831133,0.27773551875649677,0.384807596201899,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.5801491354312616,0.5480623844939939,-0.03208675093726765,-0.17720460741958016,0.11431383042730453,0.7551224387806097,0.5513121704424616,0.5249288167990648,-0.026383353643396834,-0.16554543105823788,0.12829320126493324,0.7566216891554223,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.5801491354312616,0.60548669368804,0.025337558256778414,-0.00598898667570267,0.12360456686735195,1.0,0.5513121704424616,0.576915273536639,0.02560310309417735,-0.0066275340169534794,0.11092377801566,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.5801491354312616,0.5772900094231558,-0.0028591260081057834,-0.05717165733607687,0.08292761412696081,1.0,0.5513121704424616,0.5487248143925426,-0.0025873560499189985,-0.05387353305757488,0.060797399824148404,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.5801491354312616,0.60548669368804,0.025337558256778414,-0.006026811157246883,0.11775451386508756,1.0,0.5513121704424616,0.576915273536639,0.02560310309417735,-0.009884036684979232,0.13486019306962022,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,入睡困难,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.5801491354312616,0.60548669368804,0.025337558256778414,-0.0077094094216855185,0.11979294845750753,1.0,0.5513121704424616,0.576915273536639,0.02560310309417735,-0.0030655162079451593,0.11658702593433011,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.3696896951717038,0.35667403605527787,-0.013015659116425937,-0.24937338473557052,0.21656009607183907,0.9380309845077461,0.21149446046816192,0.22130229821851052,0.009807837750348603,-0.2604166156724657,0.2716438996422804,0.9325337331334332,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.3696896951717038,0.33948975603870485,-0.030199939132998954,-0.254795008463768,0.19605633254589472,0.8830584707646177,0.21149446046816192,0.21799590507043423,0.0065014446022723105,-0.22078755351105786,0.2577842600981412,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.3696896951717038,0.3593833057113648,-0.010306389460339016,-0.19591166579798708,0.2014587454579368,1.0,0.21149446046816192,0.22197703940132824,0.010482578933166314,-0.15961741530892087,0.24633004508954742,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.3696896951717038,0.2701133315293915,-0.09957636364231232,-0.3892007797898546,0.1757471764548379,0.5622188905547226,0.21149446046816192,0.13238726643257484,-0.07910719403558708,-0.39388374450375946,0.23546115800274964,0.559720139930035,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.3696896951717038,0.35667403605527787,-0.013015659116425937,-0.2704884428436757,0.22314963886523798,0.9340329835082459,0.21149446046816192,0.22130229821851052,0.009807837750348603,-0.2521980241562619,0.2704117560763168,0.9415292353823088,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.3696896951717038,0.43500801033649705,0.06531831516479325,-0.08991581037977707,0.23323823239559366,0.6491754122938531,0.21149446046816192,0.30030288109487,0.0888084206267081,-0.09432173473279586,0.31184668231724344,0.49975012493753124,exploratory_only,探索性,0.9656484257871065,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,5,睡眠不深,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.3696896951717038,0.4436687258447153,0.07397903067301148,-0.09237006998323044,0.25979875906394373,0.49825087456271866,0.21149446046816192,0.2809362218364767,0.06944176136831479,-0.13045408764723224,0.2883054538675794,0.6196901549225388,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.3803501943707582,0.5644973471772889,0.18414715280653077,0.0,0.5353955225940176,0.5082458770614693,0.3494523407357828,0.5617651210996514,0.21231278036386858,0.0,0.5425532473286138,0.0004997501249375312,exploratory_only,探索性,0.9242000621310966,0.011894052973513243,目标条件校正相关显著更强
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.3803501943707582,0.46821336239847205,0.08786316802771388,-0.22506584231122126,0.4010360258945661,0.632183908045977,0.3494523407357828,0.4271782640556772,0.07772592331989442,-0.27725559612533884,0.4243308465582753,0.7511244377811095,exploratory_only,探索性,0.9643216366500295,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.3803501943707582,0.32030443967565836,-0.06004575469509982,-0.31231602088366384,0.2711281754306515,0.631184407796102,0.3494523407357828,0.33897546459478844,-0.010476876140994351,-0.29288729626946947,0.30611241068042216,1.0,exploratory_only,探索性,0.9643216366500295,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.3803501943707582,0.4697685553685838,0.08941836099782563,-0.06552043687879829,0.359023852554895,1.0,0.3494523407357828,0.4377665287950665,0.0883141880592837,-0.07598149182319248,0.33417644684243675,0.48075962018990503,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.3803501943707582,0.5552691980059962,0.174919003635238,0.0,0.49079989845588895,0.0004997501249375312,0.3494523407357828,0.5441472162885762,0.1946948755527934,0.0,0.5323501982711183,0.0004997501249375312,exploratory_only,探索性,0.006607807207507357,0.011894052973513243,目标条件校正相关显著更强
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.3803501943707582,0.48799085785749696,0.10764066348673879,-0.17688916066571586,0.46737192595478244,0.367816091954023,0.3494523407357828,0.4327945635491982,0.08334222281341541,-0.2738905954456245,0.46608649069465125,0.8745627186406797,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,6,早醒,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.3803501943707582,0.3742240638558957,-0.006126130514862493,-0.18460445219399288,0.2416724148607583,1.0,0.3494523407357828,0.32987652416971813,-0.019575816566064663,-0.23268957711169078,0.24302072941312394,1.0,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.7541235312866506,0.6480203530408712,-0.1061031782457793,-0.29063404081386945,0.027850245890646594,0.36281859070464767,0.6106090917911239,0.5695544230275716,-0.04105466876355224,-0.22858907750764076,0.08988344092979553,0.3873063468265867,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.7541235312866506,0.7464993266884508,-0.007624204598199791,-0.17865260321754384,0.16180534949312042,0.9155422288855573,0.6106090917911239,0.5653123468253483,-0.045296744965775626,-0.2585419106848936,0.2057699486077226,0.6851574212893553,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.7541235312866506,0.7076848242281741,-0.046438707058476414,-0.2576213627353929,0.1277619775094592,0.5257371314342829,0.6106090917911239,0.5365763404116013,-0.07403275137952259,-0.2833665746782914,0.15769025716206175,0.4802598700649675,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.7541235312866506,0.61834312250875,-0.13578040877790054,-0.3397160547943374,0.010888624576886458,0.18640679660169915,0.6106090917911239,0.5157340101504139,-0.09487508164071001,-0.26665875132040523,0.04692631643616801,0.12043978010994502,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.7541235312866506,0.5913243389839125,-0.1627991923027381,-0.3695656930734638,0.004963941090478513,0.10994502748625687,0.6106090917911239,0.5188943953010139,-0.09171469649010999,-0.2970579492461017,0.06115826176730463,0.2683658170914543,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.7541235312866506,0.5536517986163367,-0.20047173267031382,-0.43388228334867046,-0.03154912623916043,0.03548225887056472,0.6106090917911239,0.4249372856937862,-0.1856718060973377,-0.41059383958222956,-0.0008134210976826961,0.05847076461769116,exploratory_only,探索性,0.3838535277815638,0.9940029985007497,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,7,工作和活动,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.7541235312866506,0.6316877750920294,-0.1224357561946211,-0.3637722956532446,0.04880006106866467,0.16741629185407297,0.6106090917911239,0.48413699198569093,-0.12647209980543295,-0.3578181671823716,0.0522525391013558,0.2028985507246377,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,迟滞,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.7140317626453581,0.7610565426415572,0.04702477999619914,-0.07034457811907434,0.17720283242445237,0.4917541229385307,0.6645532110842073,0.7348137156577562,0.07026050457354893,-0.029179677898214698,0.2057480579212352,0.511744127936032,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,迟滞,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.7140317626453581,0.6763700552491817,-0.03766170739617636,-0.28695875570557766,0.187684916524845,0.7811094452773614,0.6645532110842073,0.6681177206258626,0.003564509541655325,-0.22493883984390947,0.20764225468596814,0.967016491754123,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,迟滞,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.7140317626453581,0.5754318833764813,-0.13859987926887674,-0.46989476491653365,0.1772819114556669,0.4852573713143428,0.6645532110842073,0.626309950273687,-0.03824326081052032,-0.36247100980719693,0.2490948200148218,0.7811094452773614,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,8,迟滞,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.7140317626453581,0.6274328135557938,-0.08659894908956423,-0.35288484270825954,0.08755018863927448,0.47176411794102946,0.6645532110842073,0.5700754488970188,-0.09447776218718851,-0.32845577986879204,0.10996604639080249,0.4387806096951524,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
