dataset,model,mode,baseline_condition,target_condition,pathway,intended_manipulation,baseline_template,target_template,changed_prompt_features,unchanged_prompt_features,unexpected_changes,single_factor_status,interpretation_allowed,exact_prompt_same,normalized_prompt_same,observed_prompt_version_baseline,observed_prompt_version_target,prompt_version_consistency,prompt_version_change_observed,notes
HAMD-17,GLM-5.2,思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Kimi-K2.6,不思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Kimi-K2.6,不思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Kimi-K2.6,不思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change; 运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25,version_unverified_or_different,yes_or_unverified,仅出现未被特征编码捕捉的文字差异；需要人工复核。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
HAMD-17,Kimi-K2.6,不思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Kimi-K2.6,不思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Kimi-K2.6,不思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25,version_unverified_or_different,yes_or_unverified,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
HAMD-17,Kimi-K2.6,思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Kimi-K2.6,思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Kimi-K2.6,思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Kimi-K2.6,思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Kimi-K2.6,思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Kimi-K2.6,思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Qwen3.7-Max,不思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Qwen3.7-Max,不思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Qwen3.7-Max,不思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Qwen3.7-Max,不思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Qwen3.7-Max,不思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Qwen3.7-Max,不思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Qwen3.7-Max,思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Qwen3.7-Max,思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Qwen3.7-Max,思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,Qwen3.7-Max,思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,Qwen3.7-Max,思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,Qwen3.7-Max,思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
PHQ-8,DeepSeek-V4-Pro,思考,C03,C04,评分路径,清洗,PROMPT_000019,PROMPT_000019,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
PHQ-8,DeepSeek-V4-Pro,思考,C03,C07,评分路径,规整/规范化,PROMPT_000019,PROMPT_000014,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
PHQ-8,DeepSeek-V4-Pro,思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000019,PROMPT_000002,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
PHQ-8,DeepSeek-V4-Pro,思考,C01,C02,等级路径,清洗,PROMPT_000008,PROMPT_000008,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,yes,yes,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27; word-2026-06-25,version_unverified_or_different,yes_or_unverified,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
PHQ-8,DeepSeek-V4-Pro,思考,C01,C05,等级路径,规整/规范化,PROMPT_000008,PROMPT_000016,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
PHQ-8,DeepSeek-V4-Pro,思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000008,PROMPT_000012,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change; 运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,no,no,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27; word-2026-06-25,version_unverified_or_different,yes_or_unverified,仅出现未被特征编码捕捉的文字差异；需要人工复核。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
PHQ-8,GLM-5.2,思考,C03,C04,评分路径,清洗,PROMPT_000019,PROMPT_000019,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,PHQ8-word-2026-06-27; word-2026-06-25,PHQ8-word-2026-06-27; word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
PHQ-8,GLM-5.2,思考,C03,C07,评分路径,规整/规范化,PROMPT_000019,PROMPT_000014,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change; 运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,no,no,PHQ8-word-2026-06-27; word-2026-06-25,PHQ8-word-2026-06-27,version_unverified_or_different,yes_or_unverified,仅出现未被特征编码捕捉的文字差异；需要人工复核。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
PHQ-8,GLM-5.2,思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000019,PROMPT_000002,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,PHQ8-word-2026-06-27; word-2026-06-25,PHQ8-word-2026-06-27; word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
PHQ-8,GLM-5.2,思考,C01,C02,等级路径,清洗,PROMPT_000008,PROMPT_000008,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,运行元数据prompt_version不同或缺失，DOCX静态差分不足以证明实际请求文本相同,uncertain,no_clean_interpretation,yes,yes,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27; word-2026-06-25,version_unverified_or_different,yes_or_unverified,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。；运行元数据版本未能在该pair内保持一致，需人工核对实际请求记录。
PHQ-8,GLM-5.2,思考,C01,C05,等级路径,规整/规范化,PROMPT_000008,PROMPT_000016,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,PHQ8-word-2026-06-27,PHQ8-word-2026-06-27,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
