dataset,model,mode,condition,prompt_template_id,issue_type,feature_name,feature_value,feature_evidence_quote,auto_confidence,review_required,reviewer_code,reviewer_note,resolved
HAMD-17,Kimi-K2.6,思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,不思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Qwen3.7-Max,思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C01,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C02,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C03,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C04,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C05,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C06,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C07,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C08,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C09,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C10,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C11,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C12,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C13,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C14,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C15,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C16,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C01,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C02,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C03,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C04,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C05,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C06,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C07,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C08,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C09,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C10,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C11,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C12,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C13,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C14,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C15,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,GLM-5.2,思考,C16,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C01,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C02,PROMPT_000007,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C03,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C04,PROMPT_000016,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C05,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C06,PROMPT_000013,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C07,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C08,PROMPT_000012,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C09,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C10,PROMPT_000010,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C11,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C12,PROMPT_000001,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C13,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C14,PROMPT_000008,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C15,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
PHQ-8,Qwen3.7-Max,思考,C16,PROMPT_000019,feature_uncertain_or_low_confidence,inference_permission,uncertain,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C03->C11,,pair_not_clean_single_factor,,uncertain,"--- baseline\n+++ target\n@@ -1,7 +1,7 @@\n # Role\n 你是一名具备丰富临床经验的心理学家和精神科评估专家。\n # Instruction\n-以下输入文本为【临床访谈文本】。\n+以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。\n 你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。\n 以下是汉密尔顿抑郁量表（HAMD-17）的选项标准、所涵盖的症状维度与严重程度定义：\n 大部分项目采用0～4分的5级评分法，各级标准为：（0）无；（1）轻度；（2）中度；（3）重度；（4）极重度；少数项目采用0～2分的3级评分法，各级标准为：（0）无；（1）轻～中度；（2）重度。",medium,yes,,,
HAMD-17,Kimi-K2.6,不思考,C01->C09,,pair_not_clean_single_factor,,uncertain,"--- baseline\n+++ target\n@@ -1,7 +1,7 @@\n # Role\n 你是一名具备丰富临床经验的心理学家和精神科评估专家。\n # Instruction\n-以下输入文本为【临床访谈文本】。\n+以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。\n # Step\n 1. 通读输入文本，提取其中提及的汉密尔顿抑郁量表（HAMD-17）症状维度与严重程度相关临床证据。\n 2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。",medium,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C01->C02,,pair_not_clean_single_factor,,uncertain,,medium,yes,,,
PHQ-8,DeepSeek-V4-Pro,思考,C01->C09,,pair_not_clean_single_factor,,uncertain,"--- baseline\n+++ target\n@@ -1,7 +1,7 @@\n # Role\n Act like you are a psychologist and mental health assessment professional with extensive clinical experience.\n # Instruction\n-The following input text is a mental health interview transcript.\n+The following input text is a mental health interview event sequence. It is segmented according to the symptom items of the Patient Health Questionnaire-8 (PHQ-8), arranged in chronological order, and contains event markers such as Event 01 and Event 02.\n Severity categories are interpreted using the PHQ-8 total score: 0–4=No or minimal; 5–9=Mild; 10–14=Moderate; 15–24=Severe.\n # Step\n 1. Read the input text and extract symptom-related evidence related to PHQ-8 symptom items and severity.",medium,yes,,,
PHQ-8,GLM-5.2,思考,C03->C07,,pair_not_clean_single_factor,,uncertain,"--- baseline\n+++ target\n@@ -1,7 +1,7 @@\n # Role\n Act like you are a psychologist and mental health assessment professional with extensive clinical experience.\n # Instruction\n-The following input text is a mental health interview transcript.\n+The following input text is a mental health assessment narrative.\n Your task is to score the depressive symptoms of the participant using the Patient Health Questionnaire-8 (PHQ-8) based on this text.\n The Patient Health Questionnaire-8 (PHQ-8) includes the following symptom items and frequency criteria.\n Each item is scored according to how often the symptom occurred in the past two weeks: 0=Not at all; 1=Several days; 2=More than half the days; 3=Nearly every day.",medium,yes,,,
PHQ-8,GLM-5.2,思考,C01->C02,,pair_not_clean_single_factor,,uncertain,,medium,yes,,,
PHQ-8,Qwen3.7-Max,思考,C03->C11,,pair_not_clean_single_factor,,uncertain,"--- baseline\n+++ target\n@@ -1,7 +1,7 @@\n # Role\n Act like you are a psychologist and mental health assessment professional with extensive clinical experience.\n # Instruction\n-The following input text is a mental health interview transcript.\n+The following input text is a mental health interview event sequence. It is segmented according to the symptom items of the Patient Health Questionnaire-8 (PHQ-8), arranged in chronological order, and contains event markers such as Event 01 and Event 02.\n Your task is to score the depressive symptoms of the participant using the Patient Health Questionnaire-8 (PHQ-8) based on this text.\n The Patient Health Questionnaire-8 (PHQ-8) includes the following symptom items and frequency criteria.\n Each item is scored according to how often the symptom occurred in the past two weeks: 0=Not at all; 1=Several days; 2=More than half the days; 3=Nearly every day.",medium,yes,,,
HAMD-17,,,,,prompt_source_outside_result_workbook,static_dynamic_split,extracted_from_local_docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,high,no,,,
PHQ-8,,,,,prompt_source_outside_result_workbook,static_dynamic_split,extracted_from_local_docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,high,no,,,
