condition,condition_name,pathway,cleaned,structured,text_scope,itemwise_scoring,direct_grade,thinking_mode,baseline_condition,intended_manipulation,intended_pair,source_file,source_condition_literal,prompt_source_note,notes
C11,11_事件序列_不规整_评分_不清洗,itemwise_score,否,否,事件序列,是,否,由运行元数据决定；已观察：不思考; 思考,C03,事件序列输入范围,C03->C11,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C2"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""不规整"", ""clean"": false, ""id"": 11, ""output"": ""评分"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C12,12_事件序列_不规整_评分_清洗,itemwise_score,是,否,事件序列,是,否,由运行元数据决定；已观察：不思考; 思考,C03,事件序列输入范围 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C2"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""不规整"", ""clean"": true, ""id"": 12, ""output"": ""评分"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C13,13_事件序列_规整_等级_不清洗,direct_grade,否,是,事件序列,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C5"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""规整"", ""clean"": false, ""id"": 13, ""output"": ""等级"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C14,14_事件序列_规整_等级_清洗,direct_grade,是,是,事件序列,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围 + 清洗 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C5"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""规整"", ""clean"": true, ""id"": 14, ""output"": ""等级"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C15,15_事件序列_规整_评分_不清洗,itemwise_score,否,是,事件序列,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C5"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""规整"", ""clean"": false, ""id"": 15, ""output"": ""评分"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C16,16_事件序列_规整_评分_清洗,itemwise_score,是,是,事件序列,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围 + 清洗 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C5"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""规整"", ""clean"": true, ""id"": 16, ""output"": ""评分"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C17,17_独立事件_不规整_等级_不清洗,direct_grade,否,否,独立事件,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C3"", ""D"": [""D4""], ""E"": ""E3"", ""attr"": ""不规整"", ""clean"": false, ""id"": 17, ""output"": ""等级"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C18,18_独立事件_不规整_等级_清洗,direct_grade,是,否,独立事件,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C3"", ""D"": [""D4""], ""E"": ""E3"", ""attr"": ""不规整"", ""clean"": true, ""id"": 18, ""output"": ""等级"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C19,19_独立事件_不规整_评分_不清洗,itemwise_score,否,否,独立事件,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C3"", ""D"": [""D1""], ""E"": ""E2"", ""attr"": ""不规整"", ""clean"": false, ""id"": 19, ""output"": ""评分"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C20,20_独立事件_不规整_评分_清洗,itemwise_score,是,否,独立事件,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C3"", ""D"": [""D1""], ""E"": ""E2"", ""attr"": ""不规整"", ""clean"": true, ""id"": 20, ""output"": ""评分"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C21,21_独立事件_规整_等级_不清洗,direct_grade,否,是,独立事件,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C6"", ""D"": [""D4""], ""E"": ""E3"", ""attr"": ""规整"", ""clean"": false, ""id"": 21, ""output"": ""等级"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C22,22_独立事件_规整_等级_清洗,direct_grade,是,是,独立事件,否,是,由运行元数据决定；已观察：不思考; 思考,C01,独立事件输入范围 + 清洗 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C6"", ""D"": [""D4""], ""E"": ""E3"", ""attr"": ""规整"", ""clean"": true, ""id"": 22, ""output"": ""等级"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C23,23_独立事件_规整_评分_不清洗,itemwise_score,否,是,独立事件,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C6"", ""D"": [""D1""], ""E"": ""E2"", ""attr"": ""规整"", ""clean"": false, ""id"": 23, ""output"": ""评分"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C24,24_独立事件_规整_评分_清洗,itemwise_score,是,是,独立事件,是,否,由运行元数据决定；已观察：不思考; 思考,C03,独立事件输入范围 + 清洗 + 规整,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C6"", ""D"": [""D1""], ""E"": ""E2"", ""attr"": ""规整"", ""clean"": true, ""id"": 24, ""output"": ""评分"", ""text"": ""独立事件""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
