sheet,original_column,inferred_role,dtype,row_n,nonmissing_n,missing_rate,unique_n,example_value,notes
02_统一结果索引,解析备注_parse_note,analysis_or_other,empty,65922,0,1.0,0,,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,模型原始等级_model_severity_level,model_output/raw_response,text,65922,34203,0.48115955,14,No or minimal,这是模型返回或解析后的输出，不是固定提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,模型报告总分_model_total_score,model_output/derived_analysis,text,65922,31717,0.51887079,40,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,评分总分映射等级_score_mapped_level_derived,model_output/derived_analysis,text,65922,31717,0.51887079,8,无或极轻,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,等级来源_level_source,model_output/derived_analysis,text,65922,65922,0.0,4,模型直接输出severity_level,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,整体置信度_overall_confidence,model_output/derived_analysis,numeric,65922,56272,0.14638512,47,0.98,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,关键证据_key_evidence,model_output/derived_analysis,json,65922,56274,0.14635478,41866,"[""good"",""no"",""it's pretty easy"",""i like reading books i enjoy i enjoy cooking um exercising is great"",""the other day"",""no""]",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,理由推理_reasoning,model_output/derived_analysis,text,65922,65893,0.00043991,65877,"The participant reports feeling 'good' today, denies feeling down when asked directly, and has no history of depression diagnosis. Sleep is described as 'pretty easy,' and they engage in multiple enjoyable activities (reading, cooking, exercising). They also report feeling happy 'the other day.' There is no evidence...",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,类别概率_class_probabilities,model_output/derived_analysis,json,65922,43850,0.33481994,1340,"{""No or minimal"":0.98,""Mild"":0.02,""Moderate"":0.0,""Severe"":0.0}",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,金标准总分_gold_total,analysis_or_other,numeric,65922,65839,0.00125906,32,2,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,金标准等级_gold_level,model_output/derived_analysis,text,65922,65839,0.00125906,8,无或极轻,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,源JSON路径_source_json,provenance_metadata,text,65922,65922,0.0,21164,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\runs\deepseek-v4-pro\PHQ_全量189人\thinking\data\output\deepseek-v4-pro\01_全文_不规整_等级_不清洗\300.json,运行来源、路径或元数据；不等于提示词正文。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,运行与金标准上下文JSON_run_context,provenance_metadata,json,65922,19296,0.70729043,19296,"{""analysis_grade_correct_primary"":1,""analysis_subset"":""test47"",""analysis_tier"":""主分析"",""cleaning"":""不清洗"",""condition_id"":1,""enriched_response_keys"":""severity_level | key_evidence | confidence_score | class_probabilities | reasoning_chain | metadata"",""file_modified_time"":""2026-07-27T19:14:39"",""file_size_bytes"":2726,""glob...",运行来源、路径或元数据；不等于提示词正文。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,完整元数据JSON_metadata,provenance_metadata,json,65922,19296,0.70729043,246,"{""extra"":{},""metadata_condition_id"":1,""metadata_dataset_source"":""DAIC-WOZ-PHQ8"",""metadata_max_tokens"":32768,""metadata_modality"":""text-only"",""metadata_model"":""deepseek-v4-pro"",""metadata_prompt_language"":""en"",""metadata_prompt_version"":""PHQ8-word-2026-06-27"",""metadata_run_id"":1,""metadata_temperature"":0,""metadata_top_k""...",运行来源、路径或元数据；不等于提示词正文。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析口径模型报告总分_analysis_model_reported_total,design_metadata/key,text,65922,9648,0.85364522,40,0,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析口径逐题和_analysis_item_sum,analysis_or_other,text,65922,9648,0.85364522,41,0,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析口径直接等级_analysis_direct_level,model_output/derived_analysis,text,65922,9646,0.85367556,4,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析口径总分映射等级_analysis_score_mapped_level,model_output/derived_analysis,text,65922,9648,0.85364522,4,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析主总分绝对误差_analysis_primary_total_abs_error,model_output/derived_analysis,numeric,65922,9648,0.85364522,31,2,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析主等级绝对误差_analysis_primary_level_abs_error,model_output/derived_analysis,text,65922,19294,0.70732077,4,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,输出结构_output_structure,analysis_or_other,text,65922,19296,0.70729043,2,等级_直接分类,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,逐维度操作性求和(排除9)_operational_item_sum_excluding_9,analysis_or_other,text,65922,9648,0.85364522,41,0,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,报告总分减逐维度和_reported_total_minus_item_sum,analysis_or_other,numeric,65922,9648,0.85364522,17,0,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,逐维度平均置信度_mean_dimension_confidence,model_output/derived_analysis,numeric,65922,9648,0.85364522,531,0.91875,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,总体理由依据_overall_reason_evidence,model_output/derived_analysis,text,65922,9614,0.85416098,9548,good | no | it's pretty easy | i like reading books i enjoy i enjoy cooking um exercising is great | the other day | no,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,总体理由推理_overall_reasoning,model_output/derived_analysis,text,65922,19296,0.70729043,19296,"The participant reports feeling 'good' today, denies feeling down when asked directly, and has no history of depression diagnosis. Sleep is described as 'pretty easy,' and they engage in multiple enjoyable activities (reading, cooking, exercising). They also report feeling happy 'the other day.' There is no evidence...",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,触发维度_triggered_dimensions,analysis_or_other,text,65922,5073,0.92304542,2004,抑郁情绪 | 有罪感 | 自杀 | 入睡困难 | 睡眠不深 | 工作和兴趣 | 精神性焦虑 | 躯体性焦虑 | 胃肠道症状 | 全身症状,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,无法评估维度ID_unassessable_dimension_ids,analysis_or_other,text,65922,2036,0.96911501,1,14,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,分析主等级_analysis_primary_level,model_output/derived_analysis,text,65922,19294,0.70732077,4,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,全部维度置信度JSON_all_dimension_confidence_json,model_output/derived_analysis,json,65922,9648,0.85364522,8923,"{""1"":0.95,""2"":0.95,""3"":0.95,""4"":0.9,""5"":0.9,""6"":0.9,""7"":0.9,""8"":0.9}",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,全部维度理由依据JSON_all_dimension_evidence_json,model_output/derived_analysis,json,65922,9648,0.85364522,9530,"{""1"":""i like reading books i enjoy i enjoy cooking; i like to play sports i enjoy uh going out with friends and family playing games"",""2"":""do you feel down: no"",""3"":""how easy is it for you to get a good night's sleep: uh it's pretty easy; do you feel that way often: uh yes"",""4"":"""",""5"":"""",""6"":"""",""7"":"""",""8"":""""}",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,全部维度评分理由JSON_all_dimension_reasoning_json,model_output/derived_analysis,json,65922,9648,0.85364522,9648,"{""1"":""Participant explicitly describes multiple activities they enjoy and regularly engage in, indicating no loss of interest or pleasure."",""2"":""When directly asked about feeling down, participant denies it. No other statements indicate depressed mood, irritability beyond a normal frustration two weeks ago, or hopel...",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,全部维度模型分数JSON_all_dimension_scores_json,model_output/derived_analysis,json,65922,9648,0.85364522,6506,"{""1"":{""absolute_error"":0.0,""max_score"":3,""name"":""Little interest or pleasure in doing things"",""normalized_absolute_error"":0.0,""pred"":0,""score9_unassessable"":0,""signed_error"":0.0,""true"":0},""2"":{""absolute_error"":0.0,""max_score"":3,""name"":""Feeling down, depressed, irritable, or hopeless"",""normalized_absolute_error"":0.0,...",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,额外输出信息JSON_extra_output_json,analysis_or_other,json,65922,19296,0.70729043,1,{},未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,完整raw_response_raw_response,model_output/raw_response,mixed,65922,19296,0.70729043,19296,"{\n  ""severity_level"": ""No or minimal"",\n  ""key_evidence"": [\n    ""good"",\n    ""no"",\n    ""it's pretty easy"",\n    ""i like reading books i enjoy i enjoy cooking um exercising is great"",\n    ""the other day"",\n    ""no""\n  ],\n  ""confidence_score"": 0.98,\n  ""class_probabilities"": {\n    ""No or minimal"": 0.98,\n    ""Mi...",这是模型返回或解析后的输出，不是固定提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,事件权重_event_weight,design_metadata/key,numeric,65922,46626,0.29270957,1247,0.0909,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,量表_scale,design_metadata/key,text,9648,9648,0.0,2,PHQ-8,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,队列_cohort,design_metadata/key,text,9648,9648,0.0,3,DAIC-WOZ全量189人,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,模型_model,design_metadata/key,text,9648,9648,0.0,4,DeepSeek-V4-Pro,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,思考模式_thinking_mode,design_metadata/key,text,9648,9648,0.0,2,思考,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,条件编号_condition_id,design_metadata/key,text,9648,9648,0.0,8,1,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,条件_condition,design_metadata/key,text,9648,9648,0.0,8,C01,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,条件全名_condition_full_name,design_metadata/key,text,9648,9648,0.0,8,01_全文_不规整_等级_不清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,输入范围_input_scope,design_metadata/key,text,9648,9648,0.0,2,全文,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,规整状态_standardization,design_metadata/key,text,9648,9648,0.0,2,不规整,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,清洗状态_cleaning,design_metadata/key,text,9648,9648,0.0,1,清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,输出任务_output_task,analysis_or_other,text,9648,9648,0.0,1,等级,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,基线标记_baseline,design_metadata/key,text,9648,9648,0.0,2,C01原始全文等级基线,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,被试ID_subject_id,design_metadata/key,text,9648,9648,0.0,288,300,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,事件ID_event_id,design_metadata/key,empty,9648,0,1.0,0,,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,记录层级_record_level,design_metadata/key,text,9648,9648,0.0,1,被试,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,解析状态_parse_status,analysis_or_other,text,9648,9648,0.0,1,ok,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,解析备注_parse_note,analysis_or_other,empty,9648,0,1.0,0,,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,模型原始等级_model_severity_level,model_output/raw_response,text,9648,9648,0.0,11,No or minimal,这是模型返回或解析后的输出，不是固定提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,等级来源_level_source,model_output/derived_analysis,text,9648,9648,0.0,1,模型直接输出severity_level,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,金标准等级_gold_level,model_output/derived_analysis,text,9648,9648,0.0,8,无或极轻,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,整体置信度_overall_confidence,model_output/derived_analysis,numeric,9648,9648,0.0,43,0.98,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,关键证据_key_evidence,model_output/derived_analysis,json,9648,9648,0.0,9549,"[""good"",""no"",""it's pretty easy"",""i like reading books i enjoy i enjoy cooking um exercising is great"",""the other day"",""no""]",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,总体理由推理_reasoning_chain,model_output/derived_analysis,text,9648,9648,0.0,9648,"The participant reports feeling 'good' today, denies feeling down when asked directly, and has no history of depression diagnosis. Sleep is described as 'pretty easy,' and they engage in multiple enjoyable activities (reading, cooking, exercising). They also report feeling happy 'the other day.' There is no evidence...",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别概率_class_probabilities,model_output/derived_analysis,json,9648,9648,0.0,1043,"{""No or minimal"":0.98,""Mild"":0.02,""Moderate"":0.0,""Severe"":0.0}",字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别1_probability_category_1,model_output/derived_analysis,text,9648,9648,0.0,3,No or minimal,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别1_probability_value_1,model_output/derived_analysis,numeric,9648,9648,0.0,50,0.98,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别2_probability_category_2,model_output/derived_analysis,text,9648,9648,0.0,3,Mild,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别2_probability_value_2,model_output/derived_analysis,numeric,9648,9648,0.0,69,0.02,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别3_probability_category_3,model_output/derived_analysis,text,9648,9648,0.0,3,Moderate,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别3_probability_value_3,model_output/derived_analysis,numeric,9648,9648,0.0,72,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别4_probability_category_4,model_output/derived_analysis,text,9648,9648,0.0,3,Severe,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,类别4_probability_value_4,model_output/derived_analysis,numeric,9648,9648,0.0,67,0,字段名和实际内容属于模型输出或由结果派生的分析变量。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,金标准总分_gold_total,analysis_or_other,numeric,9648,9648,0.0,32,2,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
03_等级结果明细,源JSON路径_source_json,provenance_metadata,text,9648,9648,0.0,9648,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\runs\deepseek-v4-pro\PHQ_全量189人\thinking\data\output\deepseek-v4-pro\01_全文_不规整_等级_不清洗\300.json,运行来源、路径或元数据；不等于提示词正文。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,量表_scale,design_metadata/key,text,123193,123193,0.0,2,PHQ-8,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,队列_cohort,design_metadata/key,text,123193,123193,0.0,3,DAIC-WOZ全量189人,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,模型_model,design_metadata/key,text,123193,123193,0.0,4,DeepSeek-V4-Pro,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,思考模式_thinking_mode,design_metadata/key,text,123193,123193,0.0,2,思考,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,条件编号_condition_id,design_metadata/key,text,123193,123193,0.0,8,3,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,条件_condition,design_metadata/key,text,123193,123193,0.0,8,C03,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,条件全名_condition_full_name,design_metadata/key,text,123193,123193,0.0,8,03_全文_不规整_评分_不清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,输入范围_input_scope,design_metadata/key,text,123193,123193,0.0,2,全文,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,规整状态_standardization,design_metadata/key,text,123193,123193,0.0,2,不规整,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,清洗状态_cleaning,design_metadata/key,text,123193,123193,0.0,1,清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,输出任务_output_task,analysis_or_other,text,123193,123193,0.0,1,评分,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,基线标记_baseline,design_metadata/key,text,123193,123193,0.0,2,C03原始全文评分基线,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,被试ID_subject_id,design_metadata/key,text,123193,123193,0.0,288,300,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,事件ID_event_id,design_metadata/key,empty,123193,0,1.0,0,,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,记录层级_record_level,design_metadata/key,text,123193,123193,0.0,1,被试-维度/条目,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,解析状态_parse_status,analysis_or_other,text,123193,123193,0.0,1,ok,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
04_评分维度明细,解析备注_parse_note,analysis_or_other,empty,123193,0,1.0,0,,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
