source_path,relative_path,workspace,size_bytes,modified_at,freeze_status,reason,sha256
PDCH\分患者分析\Analysis_Results\Confidence_Calibration_Bar.png,分患者分析/Analysis_Results/Confidence_Calibration_Bar.png,分患者分析,122959,2026-03-19T01:56:41.133523+00:00,selected_in_zip,early event/full-text scoring or similarity result,f795ad857817b2103232fe6601f49069ba21ed1a37dfcea0585c38fbf1f12a89
PDCH\分患者分析\Analysis_Results\ConfusionMatrix_Pro_deepseek-ai_DeepSeek-V3.2.png,分患者分析/Analysis_Results/ConfusionMatrix_Pro_deepseek-ai_DeepSeek-V3.2.png,分患者分析,128459,2026-03-18T08:55:29.667250+00:00,selected_in_zip,early event/full-text scoring or similarity result,7ef6f49126907ba2181d086b53a97a6c5046f59fcbe01253d847c01dfa896b83
PDCH\分患者分析\Analysis_Results\ConfusionMatrix_Pro_MiniMaxAI_MiniMax-M2.5.png,分患者分析/Analysis_Results/ConfusionMatrix_Pro_MiniMaxAI_MiniMax-M2.5.png,分患者分析,132642,2026-03-18T08:55:28.430686+00:00,selected_in_zip,early event/full-text scoring or similarity result,521ab50dfc0a4c482599843227323ea004a49ad913cb19224c6a242b06ab650e
PDCH\分患者分析\Analysis_Results\ConfusionMatrix_Pro_moonshotai_Kimi-K2.5.png,分患者分析/Analysis_Results/ConfusionMatrix_Pro_moonshotai_Kimi-K2.5.png,分患者分析,127081,2026-03-18T08:55:29.281012+00:00,selected_in_zip,early event/full-text scoring or similarity result,958acf9bb815fb7838faa65fd84a009e8019f86201fa68e73f70de0b47225800
PDCH\分患者分析\Analysis_Results\ConfusionMatrix_Pro_zai-org_GLM-5.png,分患者分析/Analysis_Results/ConfusionMatrix_Pro_zai-org_GLM-5.png,分患者分析,123173,2026-03-18T08:55:28.896770+00:00,selected_in_zip,early event/full-text scoring or similarity result,b08a6536e757cd11fbfa386fcfe334b8b059fa046f50f2a609f92898f9a42c87
PDCH\分患者分析\Analysis_Results\ConfusionMatrix_qwen-plus.png,分患者分析/Analysis_Results/ConfusionMatrix_qwen-plus.png,分患者分析,128460,2026-03-18T08:55:30.106716+00:00,selected_in_zip,early event/full-text scoring or similarity result,c0a0eaf822c292f4a83e109fe0ee214fa3d3ad3ce7132827a2f5c4258611dbf9
PDCH\分患者分析\Analysis_Results\Dimension_MAE.xlsx,分患者分析/Analysis_Results/Dimension_MAE.xlsx,分患者分析,5673,2026-03-18T08:55:30.385138+00:00,selected_in_zip,early event/full-text scoring or similarity result,7d30272cbcdd3c21f820f7ea082252bbd72b1277237a7920709fffd7f3b1ab41
PDCH\分患者分析\Analysis_Results\Dimension_MAE_Heatmap.png,分患者分析/Analysis_Results/Dimension_MAE_Heatmap.png,分患者分析,328201,2026-03-18T08:55:31.445227+00:00,selected_in_zip,early event/full-text scoring or similarity result,bf3e405e12a0441816d49dcb2349064d68c24a7e846557911b1fff53f547a029
PDCH\分患者分析\Analysis_Results\MAE_RMSE_Comparison.png,分患者分析/Analysis_Results/MAE_RMSE_Comparison.png,分患者分析,161173,2026-03-18T08:55:25.475599+00:00,selected_in_zip,early event/full-text scoring or similarity result,0c676424fa04a39613879850b4ef0be1f3eab2d671121710c12c18988161a056
PDCH\分患者分析\Analysis_Results\Merged_Data_001_075.xlsx,分患者分析/Analysis_Results/Merged_Data_001_075.xlsx,分患者分析,383854,2026-03-18T08:52:08.375124+00:00,selected_in_zip,early event/full-text scoring or similarity result,8c55878708c4facdeb5a7bbf9e901d95c6864fa59b8f355b1a8c0c77552179dd
PDCH\分患者分析\Analysis_Results\Overall_Metrics.xlsx,分患者分析/Analysis_Results/Overall_Metrics.xlsx,分患者分析,5197,2026-03-18T08:55:24.803825+00:00,selected_in_zip,early event/full-text scoring or similarity result,92f25b6d929b7e986f55ae3590da8368a2615e5ce9bdf924693e5792fa69c1f4
PDCH\分患者分析\Analysis_Results\Scatter_Pro_deepseek-ai_DeepSeek-V3.2.png,分患者分析/Analysis_Results/Scatter_Pro_deepseek-ai_DeepSeek-V3.2.png,分患者分析,165742,2026-03-18T08:55:27.608380+00:00,selected_in_zip,early event/full-text scoring or similarity result,033ae80034f0acd763c4b4de60d88b7e209438c02d89aa1240c405f6b14dcc1d
PDCH\分患者分析\Analysis_Results\Scatter_Pro_MiniMaxAI_MiniMax-M2.5.png,分患者分析/Analysis_Results/Scatter_Pro_MiniMaxAI_MiniMax-M2.5.png,分患者分析,159001,2026-03-18T08:55:26.318310+00:00,selected_in_zip,early event/full-text scoring or similarity result,630d42ce47e011c985758b121c1b04deed1378a2decc2db0bfbd731862500618
PDCH\分患者分析\Analysis_Results\Scatter_Pro_moonshotai_Kimi-K2.5.png,分患者分析/Analysis_Results/Scatter_Pro_moonshotai_Kimi-K2.5.png,分患者分析,164902,2026-03-18T08:55:27.178158+00:00,selected_in_zip,early event/full-text scoring or similarity result,3a5c29741c1017e1013b82c51ff10901717e03dbaa702048ba19daeec13d9b6e
PDCH\分患者分析\Analysis_Results\Scatter_Pro_zai-org_GLM-5.png,分患者分析/Analysis_Results/Scatter_Pro_zai-org_GLM-5.png,分患者分析,161698,2026-03-18T08:55:26.748254+00:00,selected_in_zip,early event/full-text scoring or similarity result,7dd9d04317c7af766adae1a8b51a09c7b3b7189bfed79d78d0c870ed90b41578
PDCH\分患者分析\Analysis_Results\Scatter_qwen-plus.png,分患者分析/Analysis_Results/Scatter_qwen-plus.png,分患者分析,156381,2026-03-18T08:55:28.035074+00:00,selected_in_zip,early event/full-text scoring or similarity result,1668f4f2d37493c8c2ee7359e7bc80b53f6268c94d2494adb7f8ad4c03d33610
PDCH\分患者分析\Analysis_Results\Severity_Accuracy_Comparison.png,分患者分析/Analysis_Results/Severity_Accuracy_Comparison.png,分患者分析,185788,2026-03-18T08:55:25.863538+00:00,selected_in_zip,early event/full-text scoring or similarity result,ac71c74edc4456e904c0710f96c1557a2e222bcbddd80645451fbc04ac887193
PDCH\分患者分析\analyze_ai_models.py,分患者分析/analyze_ai_models.py,分患者分析,15005,2026-03-18T07:12:31.691163+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\analyze_all_ai.py,分患者分析/analyze_all_ai.py,分患者分析,27851,2026-03-18T08:35:29.250830+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\analyze_and_visualize.py,分患者分析/analyze_and_visualize.py,分患者分析,10025,2026-03-18T07:42:42.826726+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\Combined_Similarity\Combined_Dialogue_Heatmap.png,分患者分析/Combined_Similarity/Combined_Dialogue_Heatmap.png,分患者分析,172018,2026-03-24T12:37:29.272960+00:00,selected_in_zip,early event/full-text scoring or similarity result,20b5185726e95f318a79a3394d1cb2299269b846ae88e8b318215e8c89e96f3d
PDCH\分患者分析\Combined_Similarity\Combined_Dialogue_Similarity.csv,分患者分析/Combined_Similarity/Combined_Dialogue_Similarity.csv,分患者分析,194885,2026-03-24T12:37:28.469306+00:00,selected_in_zip,early event/full-text scoring or similarity result,42a20008dd4ae226960af87f154b03b3bb56e5e4e9aa41b142426def38700e70
PDCH\分患者分析\complete_ai_analysis.py,分患者分析/complete_ai_analysis.py,分患者分析,25708,2026-03-18T07:12:31.463119+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\comprehensive_ai_analysis.py,分患者分析/comprehensive_ai_analysis.py,分患者分析,23679,2026-03-18T09:10:16.795767+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\Doctor_Only_Similarity\Doctor_Only_Dialogue_Heatmap.png,分患者分析/Doctor_Only_Similarity/Doctor_Only_Dialogue_Heatmap.png,分患者分析,168795,2026-03-24T12:37:20.483858+00:00,selected_in_zip,early event/full-text scoring or similarity result,131fe26bafead756485ef04cf6bb68c7873dbad2a0ef8fccfb08ad27cb8aa251
PDCH\分患者分析\Doctor_Only_Similarity\Doctor_Only_Dialogue_Similarity.csv,分患者分析/Doctor_Only_Similarity/Doctor_Only_Dialogue_Similarity.csv,分患者分析,194942,2026-03-24T12:37:18.980425+00:00,selected_in_zip,early event/full-text scoring or similarity result,decb4a234d64df852d1b267016341f3a0628b289416e20d5dfb48dd38df1e8ae
PDCH\分患者分析\final_ai_analysis.py,分患者分析/final_ai_analysis.py,分患者分析,24961,2026-03-18T07:12:31.708849+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\final_fix_043A.py,分患者分析/final_fix_043A.py,分患者分析,2845,2026-04-07T07:25:27.257739+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\merge_and_reorder.py,分患者分析/merge_and_reorder.py,分患者分析,7867,2026-03-18T07:12:32.225655+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\Patient_Similarity\Correlation_Delta_HAMD.txt,分患者分析/Patient_Similarity/Correlation_Delta_HAMD.txt,分患者分析,343,2026-03-24T12:52:46.887046+00:00,pointer_only,non-result,nan
PDCH\分患者分析\Patient_Similarity\Global_Patient_Dialogue_Heatmap.png,分患者分析/Patient_Similarity/Global_Patient_Dialogue_Heatmap.png,分患者分析,159230,2026-03-24T12:20:48.036454+00:00,selected_in_zip,early event/full-text scoring or similarity result,f1d876f835c3a44b91ab899a741da204872ddda28e70ba34fc38eb38e79da2d0
PDCH\分患者分析\Patient_Similarity\Global_Patient_Dialogue_Heatmap_2SD.png,分患者分析/Patient_Similarity/Global_Patient_Dialogue_Heatmap_2SD.png,分患者分析,161228,2026-03-24T12:02:55.123175+00:00,selected_in_zip,early event/full-text scoring or similarity result,fd30c955a88a3ae5527b39b29a15ba88a6a95b9985100b3411956f27c56ba1bc
PDCH\分患者分析\Patient_Similarity\Global_Patient_Dialogue_Similarity.csv,分患者分析/Patient_Similarity/Global_Patient_Dialogue_Similarity.csv,分患者分析,195011,2026-03-24T11:56:31.189018+00:00,selected_in_zip,early event/full-text scoring or similarity result,77f5775dd4295273105487748347fb59876533c72b93ef57db779fa1fd1ab2cd
PDCH\分患者分析\Patient_Similarity\Global_Patient_Dialogue_Similarity.xlsx,分患者分析/Patient_Similarity/Global_Patient_Dialogue_Similarity.xlsx,分患者分析,121291,2026-03-24T11:56:31.378686+00:00,selected_in_zip,early event/full-text scoring or similarity result,0b879c6c77e4c27f7b0c6451b4bf1a51008b0ba38eb4ba8cf9cf9b7a79b08680
PDCH\分患者分析\Patient_Similarity\Intra_vs_Inter_Similarity.png,分患者分析/Patient_Similarity/Intra_vs_Inter_Similarity.png,分患者分析,49974,2026-03-24T11:56:32.890376+00:00,selected_in_zip,early event/full-text scoring or similarity result,d30fdb469c99a3a195b7a70a5bbaadf63412b0290d8c8de850fcf1456690ab8a
PDCH\分患者分析\Patient_Similarity\Scatter_Delta_HAMD_vs_Similarity.png,分患者分析/Patient_Similarity/Scatter_Delta_HAMD_vs_Similarity.png,分患者分析,629017,2026-03-24T12:52:47.488687+00:00,selected_in_zip,early event/full-text scoring or similarity result,9a22f3ec034393f31a0e0894c6aa276bcd3a6fc73ade6a9cd0421dff69e973c0
PDCH\分患者分析\Patient_Similarity\Similarity_Distribution.txt,分患者分析/Patient_Similarity/Similarity_Distribution.txt,分患者分析,98,2026-03-24T11:56:32.894981+00:00,pointer_only,non-result,nan
PDCH\分患者分析\process_021_to_075.py,分患者分析/process_021_to_075.py,分患者分析,5556,2026-03-18T07:12:31.467161+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\replot_metrics.py,分患者分析/replot_metrics.py,分患者分析,5850,2026-03-18T08:55:04.721018+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\retry_missing_hamd.py,分患者分析/retry_missing_hamd.py,分患者分析,10091,2026-04-07T07:22:54.126059+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\robust_parse_raw_responses.py,分患者分析/robust_parse_raw_responses.py,分患者分析,2266,2026-03-18T08:50:50.964031+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\split_by_patient.py,分患者分析/split_by_patient.py,分患者分析,1664,2026-03-16T08:40:55.541275+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\001A_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/001A_assessment.json,分患者分析,8192,2026-04-08T02:44:04.084890+00:00,selected_in_zip,early event/full-text scoring or similarity result,ffc9b498c24ffec2ecec50b174e1b9e477a6c91f2b71ad65067f1de4ef920f47
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\001B_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/001B_assessment.json,分患者分析,8813,2026-04-08T02:44:05.991107+00:00,selected_in_zip,early event/full-text scoring or similarity result,b5b3cffb8e497c2c8905fd24f5cf9628b9b2d61a78ca51a5cf71cec54e2ddece
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\002A_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/002A_assessment.json,分患者分析,10626,2026-04-08T02:44:19.063340+00:00,selected_in_zip,early event/full-text scoring or similarity result,f2aedd613cd5b9558b5c9fff35f26fb09761c6174b7c22fe1b70fc4ae3d858f2
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\002B_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/002B_assessment.json,分患者分析,7934,2026-04-08T02:44:10.090559+00:00,selected_in_zip,early event/full-text scoring or similarity result,1539705da1f7235d9e4ee8a9b15adb347468c4286fb08a6b69bb9bb1c5bf8c84
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\003A_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/003A_assessment.json,分患者分析,8514,2026-04-08T02:44:05.452895+00:00,selected_in_zip,early event/full-text scoring or similarity result,a426a206ac960af1db7d254c783f367248d5193b9a4885a9d43f7a774b5064ce
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\003B_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/003B_assessment.json,分患者分析,7345,2026-04-08T02:44:05.950713+00:00,selected_in_zip,early event/full-text scoring or similarity result,b06440f8e6d86508f1871b9dcacb6cb85ee605079ea4f7b93139f94ed20db5e1
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\004A_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/004A_assessment.json,分患者分析,8298,2026-04-08T02:44:09.207132+00:00,selected_in_zip,early event/full-text scoring or similarity result,f8f3bffc157b9ee56d231026bcb0d14ed5ad279bf5350364edac007276d800a6
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\004B_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/004B_assessment.json,分患者分析,11007,2026-04-08T02:44:20.381221+00:00,selected_in_zip,early event/full-text scoring or similarity result,95258b0f0c01f54c42a1bdb761150e7ffa2257962b59683601589dc4445c2828
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\005A_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/005A_assessment.json,分患者分析,9093,2026-04-08T02:44:10.992360+00:00,selected_in_zip,early event/full-text scoring or similarity result,76428f08111cf136a94a02e5cf8bcf58465344556ba8fe9c6f931387c06816e9
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\005B_assessment.json,分患者分析/实验一/10_全事件未清洗先评总分/005B_assessment.json,分患者分析,10336,2026-04-08T02:44:08.356093+00:00,selected_in_zip,early event/full-text scoring or similarity result,2bb420c89c9b21595d8dac259d23156e58cc898427c39d53250c666a16ec07c4
PDCH\分患者分析\实验一\10_全事件未清洗先评总分\Combo10_HAMD17_Full_Assessment.xlsx,分患者分析/实验一/10_全事件未清洗先评总分/Combo10_HAMD17_Full_Assessment.xlsx,分患者分析,5606,2026-04-08T02:44:20.900058+00:00,selected_in_zip,early event/full-text scoring or similarity result,c43992085395e930c5a80c479d8dc78a737e9b720abbc449e79cb31d4203826d
PDCH\分患者分析\实验一\10async_combo10_hamd_total.py,分患者分析/实验一/10async_combo10_hamd_total.py,分患者分析,12741,2026-04-08T02:42:00.818942+00:00,pointer_only,non-result,nan
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\001A_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/001A_rating.json,分患者分析,2162,2026-04-08T03:03:31.440623+00:00,selected_in_zip,early event/full-text scoring or similarity result,73bbc479beca0cde417e809184e770732d7a8ee8b09e438ea3e52a2fe2b70631
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\001B_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/001B_rating.json,分患者分析,1768,2026-04-08T03:03:28.875622+00:00,selected_in_zip,early event/full-text scoring or similarity result,cb5d7042bba70bb68f31431cd1586e197768209c2b17904a059f776b435c52f0
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\002A_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/002A_rating.json,分患者分析,2430,2026-04-08T03:03:40.566511+00:00,selected_in_zip,early event/full-text scoring or similarity result,312d3623f77631cdb767dc8576b6d59834107fc143be8fa86f61acc71f0c0939
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\002B_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/002B_rating.json,分患者分析,2348,2026-04-08T03:03:52.946179+00:00,selected_in_zip,early event/full-text scoring or similarity result,4360a0155b8ce00eb0638ad41fdb391ed0c263b1e07c180bd81435617f50bf32
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\003A_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/003A_rating.json,分患者分析,2758,2026-04-08T03:03:25.449194+00:00,selected_in_zip,early event/full-text scoring or similarity result,c24b338b68701e8e565e6c6e1d68679141523cff68300b8429c0fe28be333b0d
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\003B_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/003B_rating.json,分患者分析,1816,2026-04-08T03:03:26.553193+00:00,selected_in_zip,early event/full-text scoring or similarity result,d389f3669b0d54789c052fbbeb932ee1029dcf8db8f31f6bb9ed78289c0f193e
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\004A_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/004A_rating.json,分患者分析,2649,2026-04-08T03:03:39.810098+00:00,selected_in_zip,early event/full-text scoring or similarity result,93fbc99b2c8d38ff543035e00fec8e5251045df116519161c3f5467cfa1b50f0
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\004B_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/004B_rating.json,分患者分析,1945,2026-04-08T03:03:27.464350+00:00,selected_in_zip,early event/full-text scoring or similarity result,c7c3d2eb2356e05bb2204e9a560ee33a120ac90ce69df742f6197141a2484870
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\005A_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/005A_rating.json,分患者分析,2056,2026-04-08T03:03:25.555854+00:00,selected_in_zip,early event/full-text scoring or similarity result,5c139fd28f1bd116f5fdc6c8eff4fe7a4707110a9cd771dad3a6be82622ba46d
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\005B_rating.json,分患者分析/实验一/11_全事件清洗后直接评级/005B_rating.json,分患者分析,2491,2026-04-08T03:03:30.784397+00:00,selected_in_zip,early event/full-text scoring or similarity result,a143210898d93866d409d9598b7c64175aab608fc3f43ab1e950c6894f6df802
PDCH\分患者分析\实验一\11_全事件清洗后直接评级\Combo11_Cleaned_Text_Ratings.xlsx,分患者分析/实验一/11_全事件清洗后直接评级/Combo11_Cleaned_Text_Ratings.xlsx,分患者分析,15623,2026-04-08T03:03:53.368149+00:00,selected_in_zip,early event/full-text scoring or similarity result,ac1dc415795ca15c7cf631e1bf736776553bcf62d675455779bb9adf7ce0dc24
PDCH\分患者分析\实验一\11async_combo11_rating.py,分患者分析/实验一/11async_combo11_rating.py,分患者分析,8602,2026-04-08T03:02:16.801153+00:00,pointer_only,non-result,nan
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\001A_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/001A_assessment.json,分患者分析,7593,2026-04-08T03:05:23.858437+00:00,selected_in_zip,early event/full-text scoring or similarity result,9e28c011527259e3b837c821b70e18a2426729634ed727ea1bfab84cda1a1e5c
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\001B_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/001B_assessment.json,分患者分析,7621,2026-04-08T03:05:21.934803+00:00,selected_in_zip,early event/full-text scoring or similarity result,0d1a6bad2c7be229ffb24b965ef8a04339fdbc1f5575e29e994561fee67f5ddf
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\002A_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/002A_assessment.json,分患者分析,9296,2026-04-08T03:05:23.442526+00:00,selected_in_zip,early event/full-text scoring or similarity result,08ca08136fa6fc83a93ef93a795e734c93794afdf64afefadc8462e70493b3a7
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\002B_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/002B_assessment.json,分患者分析,7286,2026-04-08T03:05:27.384300+00:00,selected_in_zip,early event/full-text scoring or similarity result,d6dcf633475f01107933d5daec9b661ba47443c99004d5a4e8440de17a6ec5de
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\003A_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/003A_assessment.json,分患者分析,7200,2026-04-08T03:05:17.783472+00:00,selected_in_zip,early event/full-text scoring or similarity result,ba14d106fcbfb3d33cde2d0809127f8e616bb1b07388140802b222d5ab1c9116
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\003B_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/003B_assessment.json,分患者分析,6624,2026-04-08T03:05:22.493272+00:00,selected_in_zip,early event/full-text scoring or similarity result,508d42e9517a8b06e39562d431e10c3366e2ec9863418b6dcad17692e96e851c
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\004A_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/004A_assessment.json,分患者分析,8400,2026-04-08T03:05:21.255724+00:00,selected_in_zip,early event/full-text scoring or similarity result,b5f06bbc0f91c7310290c9582abbb308679e960c4f30983e007e231c148a5891
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\004B_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/004B_assessment.json,分患者分析,7665,2026-04-08T03:05:28.734237+00:00,selected_in_zip,early event/full-text scoring or similarity result,8524a8c335136567e48d18eeb5acc0ee09fac70247d9c996aa7d6a48c348eb6c
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\005A_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/005A_assessment.json,分患者分析,7160,2026-04-08T03:05:27.614979+00:00,selected_in_zip,early event/full-text scoring or similarity result,dd81d7e711defa6bb1093346e24b2a0897acbc822e1191e516bd6b153f327961
PDCH\分患者分析\实验一\12_全事件清洗后先评总分\005B_assessment.json,分患者分析/实验一/12_全事件清洗后先评总分/005B_assessment.json,分患者分析,7540,2026-04-08T03:05:27.593942+00:00,selected_in_zip,early event/full-text scoring or similarity result,f0cd0b6fc95f6262d2b458f11b7af26c3b49263e7d0687036189cd74660a9ae0
