directory,existing_manifest_status,existing_file_count,existing_bytes,audit_status,recommended_action,reason,source_path
pdch_corrected_item_total_association_20260811,manifest_unavailable,47,260950175,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_corrected_item_total_association_20260811
pdch_corrected_item_total_association_20260811_smoketest,manifest_unavailable,5,3547698,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_corrected_item_total_association_20260811_smoketest
pdch_corrected_item_total_association_20260811_smoketest2,manifest_unavailable,18,43030576,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_corrected_item_total_association_20260811_smoketest2
pdch_coverage_aware_partial_20260827,PASS,57,221213705,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_coverage_aware_partial_20260827
pdch_coverage_aware_partial_smoke_20260827,manifest_unavailable,0,0,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_coverage_aware_partial_smoke_20260827
pdch_cross_ai_anchored_hamd_phq_20260909,COMPLETE_ANCHORED_EXPLORATORY_OOF | PASS,22,40977563,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_anchored_hamd_phq_20260909
pdch_cross_ai_anchored_hamd_phq_combined_20260909,COMPLETE_ANCHORED_COMBINED_TABLE | PASS,17,4662362,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_anchored_hamd_phq_combined_20260909
pdch_cross_ai_hamd_phq_combined_20260909,COMPLETE_EXPLORATORY_COMBINED_TABLE | PASS,16,907008,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_hamd_phq_combined_20260909
pdch_cross_ai_joint_hamd_phq_20260910,COMPLETE_DIRECT_JOINT_EXPLORATORY_OOF | PASS,25,43506668,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_joint_hamd_phq_20260910
pdch_cross_ai_joint_hamd_phq_combined_20260910,COMPLETE_DIRECT_JOINT_COMBINED_TABLE,27,56885034,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_joint_hamd_phq_combined_20260910
pdch_cross_ai_joint_hamd_phq_reference_style_20260911,COMPLETE_DIRECT_JOINT_REFERENCE_STYLE_WORKBOOK | PASS,38,7374891,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_cross_ai_joint_hamd_phq_reference_style_20260911
pdch_deep_patterns_20260803,manifest_unavailable,211,3130665234,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_deep_patterns_20260803
pdch_deep_patterns_explained_20260804,manifest_unavailable,7826,386555890,supporting_missing,bundle_selected_evidence,深层规律老师解释版，保留用于讨论与历史解释,PDCH/实验\outputs\pdch_deep_patterns_explained_20260804
pdch_dimension_charts_20260828,manifest_unavailable,29,5884984,figure_missing,bundle_selected_evidence,逐维度图和 montage,PDCH/实验\outputs\pdch_dimension_charts_20260828
pdch_dimension_condition_validation_charts_20260828,manifest_unavailable,29,12388806,figure_missing,bundle_selected_evidence,逐维度条件验证图和 montage,PDCH/实验\outputs\pdch_dimension_condition_validation_charts_20260828
pdch_final_closure_20260909,manifest_unavailable,3,7819,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_final_closure_20260909
pdch_final_closure_20260910,manifest_unavailable,3,9525,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_final_closure_20260910
pdch_freeze_20260822,manifest_unavailable,2451,49165825,freeze_history_missing,bundle_selected_evidence,前一版 freeze contract、manifest 和快照哈希,PDCH/实验\outputs\pdch_freeze_20260822
pdch_hamd17_evidence_20260820_models_thinking_on_24,manifest_unavailable,99,1822356,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_evidence_20260820_models_thinking_on_24
pdch_hamd17_evidence_20260821_models_thinking_on_99,manifest_unavailable,399,7097561,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_evidence_20260821_models_thinking_on_99
pdch_hamd17_extract_score_20260821_24_models_thinking_off,manifest_unavailable,60,2878125,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_off
pdch_hamd17_extract_score_20260821_24_models_thinking_off_v2,manifest_unavailable,10,260071,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_off_v2
pdch_hamd17_extract_score_20260821_24_models_thinking_off_v3,manifest_unavailable,3,52501,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_off_v3
pdch_hamd17_extract_score_20260821_24_models_thinking_off_v4,manifest_unavailable,98,6410194,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_off_v4
pdch_hamd17_extract_score_20260821_24_models_thinking_off_v4_retry,manifest_unavailable,1,1658,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_off_v4_retry
pdch_hamd17_extract_score_20260821_24_models_thinking_on,manifest_unavailable,10,43026,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_on
pdch_hamd17_extract_score_20260821_24_models_thinking_on_budget4096_async2,manifest_unavailable,9,5549,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_on_budget4096_async2
pdch_hamd17_extract_score_20260821_24_models_thinking_on_budget4096_v2,manifest_unavailable,2,2232,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_on_budget4096_v2
pdch_hamd17_extract_score_20260821_24_models_thinking_on_v2,manifest_unavailable,6,3946,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_24_models_thinking_on_v2
pdch_hamd17_extract_score_20260821_kimi_failed_retry_thinking_off,manifest_unavailable,3,164935,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_20260821_kimi_failed_retry_thinking_off
pdch_hamd17_extract_score_preflight_20260821,manifest_unavailable,2,2221,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_preflight_20260821
pdch_hamd17_extract_score_preflight_20260821_32768,manifest_unavailable,2,2222,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_preflight_20260821_32768
pdch_hamd17_extract_score_preflight_20260821_off,manifest_unavailable,2,59019,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_preflight_20260821_off
pdch_hamd17_extract_score_preflight_20260821_stream_on_budget4096,manifest_unavailable,2,25196,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_preflight_20260821_stream_on_budget4096
pdch_hamd17_extract_score_preflight_20260821_thinking_on_budget4096,manifest_unavailable,1,1391,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_preflight_20260821_thinking_on_budget4096
pdch_hamd17_extract_score_staged_20260821_24_thinking_on_budget4096,manifest_unavailable,221,9882169,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_staged_20260821_24_thinking_on_budget4096
pdch_hamd17_extract_score_staged_20260822_remaining75_thinking_on_budget4096,manifest_unavailable,669,22612747,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_hamd17_extract_score_staged_20260822_remaining75_thinking_on_budget4096
pdch_hamd99_all_models_modes_20260724,manifest_unavailable,1,59308,historical_reference_missing,bundle_selected_evidence,早期 HAMD99 三模型思考/不思考轻量汇总,PDCH/实验\outputs\pdch_hamd99_all_models_modes_20260724
pdch_hamd99_all_models_modes_20260724_rebuilt,manifest_unavailable,1,44104,historical_reference_missing,bundle_selected_evidence,早期 HAMD99 三模型思考/不思考重点重做汇总,PDCH/实验\outputs\pdch_hamd99_all_models_modes_20260724_rebuilt
pdch_hamd99_cross_ai_heterogeneity_20260909,COMPLETE_EXPLORATORY_OOF | PASS,13,10609004,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_hamd99_cross_ai_heterogeneity_20260909
pdch_heterogeneous_condition_three_strategy_20260827,PASS,104,388807136,high_value_missing,bundle_selected_evidence,冻结 A/B/C 三策略、outer OOF、稳定性和跨模型一致性；当前直接 Joint 需要保留其前置分析谱系,PDCH/实验\outputs\pdch_heterogeneous_condition_three_strategy_20260827
pdch_heterogeneous_condition_total_20260827,PASS,120,209236024,high_value_missing,bundle_selected_evidence,早期条件异构总分与 coverage/抵消结果，作为 Stage2 前置证据,PDCH/实验\outputs\pdch_heterogeneous_condition_total_20260827
pdch_item_dimension_diagnostics_20260730,manifest_unavailable,7894,574380965,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_item_dimension_diagnostics_20260730
pdch_item_error_cancellation_20260815,manifest_unavailable,17,13432140,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_item_error_cancellation_20260815
pdch_item_total_correlation_20260811,manifest_unavailable,35,450711413,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_item_total_correlation_20260811
pdch_meeting_alignment_review_20260909,manifest_unavailable,3,11687,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_meeting_alignment_review_20260909
pdch_multifield_analysis_20260805,manifest_unavailable,51,85984074,high_value_missing,bundle_selected_evidence,多字段、置信度、coherence、difficulty 和 reasoning 结果，支持研究问题来源,PDCH/实验\outputs\pdch_multifield_analysis_20260805
pdch_phase1_abstention_triggered_20260806,manifest_unavailable,15,3675992,supporting_missing,bundle_selected_evidence,拒答、coverage-risk 和两阶段评分补充分析,PDCH/实验\outputs\pdch_phase1_abstention_triggered_20260806
pdch_phq189_cross_ai_heterogeneity_20260909,COMPLETE_EXPLORATORY_OOF | PASS,15,9069210,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_phq189_cross_ai_heterogeneity_20260909
pdch_phq8_evidence_20260821_models_thinking_on_189,manifest_unavailable,760,5823982,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_phq8_evidence_20260821_models_thinking_on_189
pdch_phq8_extract_score_preflight_20260822_thinking_on_budget4096,manifest_unavailable,9,73770,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_phq8_extract_score_preflight_20260822_thinking_on_budget4096
pdch_phq8_extract_score_staged_20260822_189_thinking_on_budget4096,manifest_unavailable,1545,15053635,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_phq8_extract_score_staged_20260822_189_thinking_on_budget4096
pdch_phq_evidence_20260820_models_thinking_on,manifest_unavailable,3,1819,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_phq_evidence_20260820_models_thinking_on
pdch_phq_hamd_baseline_focused_20260728,manifest_unavailable,7820,355990392,historical_reference_missing,bundle_selected_evidence,早期 baseline-focused 条件效应,PDCH/实验\outputs\pdch_phq_hamd_baseline_focused_20260728
pdch_phq_hamd_joint_analysis_20260728,manifest_unavailable,7822,676609908,historical_reference_missing,bundle_selected_evidence,早期 PHQ/HAMD 联合分析和条件指标,PDCH/实验\outputs\pdch_phq_hamd_joint_analysis_20260728
pdch_phq_hamd_teacher_protocol_20260729,manifest_unavailable,7864,723006247,formal_reference_missing,bundle_selected_evidence,教师方案严谨重分析及主张边界,PDCH/实验\outputs\pdch_phq_hamd_teacher_protocol_20260729
pdch_phq_replication_validation_20260815,manifest_unavailable,12,1968326,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_phq_replication_validation_20260815
pdch_plos_structure_and_validity_20260824,completed_statistics_and_figures_visual_qc_passed,33,5466563,supporting_missing,bundle_selected_evidence,结构系数、convergence 和 item specificity 补充图表,PDCH/实验\outputs\pdch_plos_structure_and_validity_20260824
pdch_prompt_fields_direct_20260802,manifest_unavailable,7885,3469421451,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_prompt_fields_direct_20260802
pdch_research_direction_review_20260907,manifest_unavailable,28,908638784,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_research_direction_review_20260907
pdch_stage2_ordinal_hurdle_20260822,old_prompt_internal_cv_ordinal_hurdle,4,101459,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_stage2_ordinal_hurdle_20260822
pdch_stage2_robustness_20260823,manifest_unavailable,4,16769,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_stage2_robustness_20260823
pdch_statistical_summary_20260821,manifest_unavailable,4,160374,historical_reference_missing,bundle_selected_evidence,阶段性统计摘要工作簿和 CSV,PDCH/实验\outputs\pdch_statistical_summary_20260821
pdch_teacher_actual_analysis_20260730,manifest_unavailable,7815,347063921,historical_reference_missing,bundle_selected_evidence,教师要求实际分析工作簿,PDCH/实验\outputs\pdch_teacher_actual_analysis_20260730
pdch_teacher_item_total_reanalysis_20260811,manifest_unavailable,13,61396995,supporting_missing,bundle_selected_evidence,教师口径题总相关、点二列相关、严格总分一致性敏感性和逐记录核对,PDCH/实验\outputs\pdch_teacher_item_total_reanalysis_20260811
pdch_teacher_master_20260730,manifest_unavailable,7850,693326179,formal_reference_missing,bundle_selected_evidence,教师要求统一口径总表,PDCH/实验\outputs\pdch_teacher_master_20260730
pdch_teacher_presentation_20260828,PASS,3,167498,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_teacher_presentation_20260828
pdch_teacher_presentation_20260829,PASS,9,20208801,presentation_missing,bundle_selected_evidence,老师汇报 PPT 与修订版,PDCH/实验\outputs\pdch_teacher_presentation_20260829
pdch_teacher_requirements_completed_20260805,manifest_unavailable,102,134682318,formal_reference_missing,bundle_selected_evidence,教师会议要求补齐总表及公式字段增强版,PDCH/实验\outputs\pdch_teacher_requirements_completed_20260805
pdch_teacher_research_decision_chain_20260828,manifest_unavailable,11,1974843,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_teacher_research_decision_chain_20260828
pdch_teacher_research_decision_chain_20260828_v2,manifest_unavailable,11,5316510,presentation_missing,bundle_selected_evidence,按教师决策链重组的锁定结果工作簿,PDCH/实验\outputs\pdch_teacher_research_decision_chain_20260828_v2
pdch_teacher_research_evidence_20260828,manifest_unavailable,11,7644504,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_teacher_research_evidence_20260828
pdch_teacher_research_evidence_20260828_v2,manifest_unavailable,33,9576306,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_teacher_research_evidence_20260828_v2
pdch_teacher_research_evidence_20260828_v3,manifest_unavailable,61,14529211,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_teacher_research_evidence_20260828_v3
pdch_teacher_research_evidence_20260828_v4,manifest_unavailable,27,12394765,presentation_missing,bundle_selected_evidence,老师汇报证据工作簿和 QA,PDCH/实验\outputs\pdch_teacher_research_evidence_20260828_v4
pdch_teacher_research_question_order_20260828,manifest_unavailable,9,592557,presentation_missing,bundle_selected_evidence,按教师研究问题顺序重组的锁定结果工作簿,PDCH/实验\outputs\pdch_teacher_research_question_order_20260828
pdch_three_models_modes_20260725,manifest_unavailable,7811,340588656,historical_reference_missing,bundle_selected_evidence,三模型 C01-C16/C17-C24 初始汇总,PDCH/实验\outputs\pdch_three_models_modes_20260725
pdch_three_models_modes_detailed_20260725,manifest_unavailable,8193,857860633,historical_reference_missing,bundle_selected_evidence,三模型思考/不思考逐条件详细统计,PDCH/实验\outputs\pdch_three_models_modes_detailed_20260725
pdch_twostage_calibration_20260821,manifest_unavailable,2,48035,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_twostage_calibration_20260821
pdch_twostage_corrected_20260821,corrected_internal_cv,9,1311205,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_twostage_corrected_20260821
pdch_twostage_full_20260821,manifest_unavailable,3,348188,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_twostage_full_20260821
pdch_twostage_old_prompt_20260822,corrected_internal_cv,7,814891,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_twostage_old_prompt_20260822
