scale,model,item_id,item_name,top_condition_id,top_selection_frequency,normalized_entropy,C03_selection_frequency,condition_distribution
HAMD-17,GLM-5.2,17,自知力,3,0.52,0.5125657869425018,0.52,"{""C03"": 26, ""C07"": 5, ""C08"": 2, ""C11"": 17}"
HAMD-17,Kimi-K2.6,1,抑郁情绪,11,0.82,0.2568878486626321,0.0,"{""C07"": 1, ""C08"": 8, ""C11"": 41}"
HAMD-17,Kimi-K2.6,2,有罪感,3,0.74,0.30948989967874146,0.74,"{""C03"": 37, ""C08"": 12, ""C12"": 1}"
HAMD-17,Kimi-K2.6,3,自杀,7,0.5,0.5025718799262666,0.08,"{""C03"": 4, ""C07"": 25, ""C11"": 2, ""C16"": 19}"
HAMD-17,Kimi-K2.6,4,入睡困难,3,0.98,0.04714684751394022,0.98,"{""C03"": 49, ""C04"": 1}"
HAMD-17,Kimi-K2.6,5,睡眠不深,3,0.46,0.4970860630698834,0.46,"{""C03"": 23, ""C08"": 9, ""C16"": 18}"
HAMD-17,Kimi-K2.6,6,早醒,16,0.62,0.5397415960822659,0.16,"{""C03"": 8, ""C08"": 7, ""C11"": 2, ""C15"": 2, ""C16"": 31}"
HAMD-17,Kimi-K2.6,7,工作和活动,3,0.52,0.47513836041093144,0.52,"{""C03"": 26, ""C04"": 4, ""C07"": 19, ""C08"": 1}"
HAMD-17,Kimi-K2.6,8,迟滞,15,0.58,0.5900181688190861,0.06,"{""C03"": 3, ""C07"": 2, ""C08"": 4, ""C12"": 1, ""C15"": 29, ""C16"": 11}"
HAMD-17,Kimi-K2.6,9,激越,11,0.54,0.6677290831727957,0.02,"{""C03"": 1, ""C07"": 8, ""C08"": 4, ""C11"": 27, ""C12"": 2, ""C15"": 7, ""C16"": 1}"
HAMD-17,Kimi-K2.6,10,精神性焦虑,8,0.88,0.23985212179130103,0.0,"{""C08"": 44, ""C11"": 2, ""C12"": 2, ""C15"": 2}"
HAMD-17,Kimi-K2.6,11,躯体性焦虑,7,0.94,0.12751422306591523,0.0,"{""C07"": 47, ""C15"": 1, ""C16"": 2}"
HAMD-17,Kimi-K2.6,12,胃肠道症状,8,0.62,0.4700467168727261,0.08,"{""C03"": 4, ""C07"": 13, ""C08"": 31, ""C11"": 2}"
HAMD-17,Kimi-K2.6,13,全身症状,11,0.98,0.04714684751394022,0.0,"{""C11"": 49, ""C12"": 1}"
HAMD-17,Kimi-K2.6,15,疑病,4,0.58,0.5306400254651042,0.02,"{""C03"": 1, ""C04"": 29, ""C07"": 13, ""C11"": 2, ""C16"": 5}"
HAMD-17,Kimi-K2.6,16,体重减轻,7,0.96,0.09409739636080494,0.0,"{""C07"": 48, ""C08"": 1, ""C16"": 1}"
HAMD-17,Kimi-K2.6,17,自知力,8,0.96,0.0807640630274716,0.0,"{""C07"": 2, ""C08"": 48}"
HAMD-17,Qwen3.7-Max,1,抑郁情绪,4,0.46,0.5823793131996916,0.24,"{""C03"": 12, ""C04"": 23, ""C07"": 3, ""C08"": 12}"
HAMD-17,Qwen3.7-Max,2,有罪感,4,0.26,0.7383749666831326,0.12,"{""C03"": 6, ""C04"": 13, ""C08"": 13, ""C11"": 5, ""C15"": 13}"
HAMD-17,Qwen3.7-Max,3,自杀,16,0.48,0.5933012931690466,0.0,"{""C04"": 9, ""C08"": 12, ""C12"": 5, ""C16"": 24}"
HAMD-17,Qwen3.7-Max,4,入睡困难,12,0.54,0.45876135749826585,0.34,"{""C03"": 17, ""C04"": 6, ""C12"": 27}"
HAMD-17,Qwen3.7-Max,5,睡眠不深,15,0.98,0.04714684751394022,0.02,"{""C03"": 1, ""C15"": 49}"
HAMD-17,Qwen3.7-Max,6,早醒,3,0.68,0.3014604859081646,0.68,"{""C03"": 34, ""C04"": 16}"
HAMD-17,Qwen3.7-Max,7,工作和活动,3,0.92,0.17405973006742428,0.92,"{""C03"": 46, ""C04"": 1, ""C07"": 2, ""C12"": 1}"
HAMD-17,Qwen3.7-Max,8,迟滞,15,0.9,0.18039613435933918,0.02,"{""C03"": 1, ""C15"": 45, ""C16"": 4}"
HAMD-17,Qwen3.7-Max,9,激越,11,0.42,0.699629418131252,0.3,"{""C03"": 15, ""C04"": 7, ""C07"": 1, ""C11"": 21, ""C12"": 1, ""C15"": 3, ""C16"": 2}"
HAMD-17,Qwen3.7-Max,10,精神性焦虑,4,0.9,0.20706280102600583,0.02,"{""C03"": 1, ""C04"": 45, ""C11"": 2, ""C15"": 2}"
HAMD-17,Qwen3.7-Max,11,躯体性焦虑,11,0.86,0.22235766688146055,0.12,"{""C03"": 6, ""C11"": 43, ""C16"": 1}"
HAMD-17,Qwen3.7-Max,12,胃肠道症状,7,0.48,0.5732949688705602,0.26,"{""C03"": 13, ""C07"": 24, ""C08"": 1, ""C11"": 11, ""C12"": 1}"
HAMD-17,Qwen3.7-Max,13,全身症状,3,1.0,0.0,1.0,"{""C03"": 50}"
HAMD-17,Qwen3.7-Max,15,疑病,11,0.36,0.6408397219636979,0.0,"{""C04"": 7, ""C11"": 18, ""C15"": 11, ""C16"": 14}"
HAMD-17,Qwen3.7-Max,16,体重减轻,12,0.68,0.35944069318278826,0.0,"{""C07"": 14, ""C08"": 2, ""C12"": 34}"
HAMD-17,Qwen3.7-Max,17,自知力,8,0.96,0.0807640630274716,0.04,"{""C03"": 2, ""C08"": 48}"
PHQ-8,DeepSeek-V4-Pro,1,兴趣或愉悦感降低,15,0.92,0.1340597300674243,0.0,"{""C07"": 4, ""C15"": 46}"
PHQ-8,DeepSeek-V4-Pro,2,情绪低落、抑郁或无望,11,0.66,0.4161655642740054,0.02,"{""C03"": 1, ""C07"": 1, ""C08"": 1, ""C11"": 33, ""C12"": 14}"
PHQ-8,DeepSeek-V4-Pro,3,睡眠问题,3,0.98,0.04714684751394022,0.98,"{""C03"": 49, ""C07"": 1}"
PHQ-8,DeepSeek-V4-Pro,4,疲劳或精力不足,7,0.7,0.3908586925223643,0.18,"{""C03"": 9, ""C07"": 35, ""C11"": 6}"
PHQ-8,DeepSeek-V4-Pro,5,食欲问题,8,0.4,0.701499483853388,0.0,"{""C07"": 12, ""C08"": 20, ""C12"": 4, ""C15"": 6, ""C16"": 8}"
PHQ-8,DeepSeek-V4-Pro,6,自我评价低或让家人失望,11,0.64,0.3142277297518308,0.0,"{""C11"": 32, ""C15"": 18}"
PHQ-8,DeepSeek-V4-Pro,7,注意力困难,16,0.92,0.15569381338633448,0.0,"{""C04"": 1, ""C07"": 3, ""C16"": 46}"
PHQ-8,DeepSeek-V4-Pro,8,动作或语速改变,16,0.56,0.5403836443876168,0.08,"{""C03"": 4, ""C04"": 12, ""C11"": 6, ""C16"": 28}"
PHQ-8,GLM-5.2,1,兴趣或愉悦感降低,3,0.48,0.47861068174398097,0.48,"{""C03"": 24, ""C11"": 19, ""C15"": 7}"
PHQ-8,GLM-5.2,2,情绪低落、抑郁或无望,11,0.62,0.3193473407420999,0.38,"{""C03"": 19, ""C11"": 31}"
PHQ-8,GLM-5.2,3,睡眠问题,7,0.74,0.27558212416420597,0.26,"{""C03"": 13, ""C07"": 37}"
PHQ-8,GLM-5.2,4,疲劳或精力不足,3,0.52,0.5541384865271345,0.52,"{""C03"": 26, ""C04"": 3, ""C11"": 13, ""C12"": 8}"
PHQ-8,GLM-5.2,5,食欲问题,3,0.96,0.0807640630274716,0.96,"{""C03"": 48, ""C07"": 2}"
PHQ-8,GLM-5.2,6,自我评价低或让家人失望,11,0.76,0.2981187744857981,0.02,"{""C03"": 1, ""C07"": 11, ""C11"": 38}"
PHQ-8,GLM-5.2,7,注意力困难,3,0.6,0.5520352143539776,0.6,"{""C03"": 30, ""C04"": 9, ""C11"": 7, ""C12"": 2, ""C15"": 2}"
PHQ-8,GLM-5.2,8,动作或语速改变,3,0.88,0.23481953844354456,0.88,"{""C03"": 44, ""C11"": 1, ""C12"": 3, ""C15"": 2}"
PHQ-8,Qwen3.7-Max,1,兴趣或愉悦感降低,8,0.92,0.1340597300674243,0.0,"{""C07"": 4, ""C08"": 46}"
PHQ-8,Qwen3.7-Max,2,情绪低落、抑郁或无望,12,0.62,0.4333148835105464,0.0,"{""C04"": 6, ""C11"": 13, ""C12"": 31}"
PHQ-8,Qwen3.7-Max,3,睡眠问题,3,0.62,0.3570271589385432,0.62,"{""C03"": 31, ""C08"": 18, ""C16"": 1}"
PHQ-8,Qwen3.7-Max,4,疲劳或精力不足,4,0.98,0.04714684751394022,0.02,"{""C03"": 1, ""C04"": 49}"
PHQ-8,Qwen3.7-Max,5,食欲问题,4,0.58,0.5659538989895073,0.06,"{""C03"": 3, ""C04"": 29, ""C07"": 11, ""C08"": 5, ""C15"": 2}"
PHQ-8,Qwen3.7-Max,6,自我评价低或让家人失望,7,0.86,0.22235766688146055,0.0,"{""C07"": 43, ""C08"": 1, ""C11"": 6}"
PHQ-8,Qwen3.7-Max,7,注意力困难,8,0.98,0.04714684751394022,0.0,"{""C04"": 1, ""C08"": 49}"
PHQ-8,Qwen3.7-Max,8,动作或语速改变,16,0.52,0.5784424636888494,0.0,"{""C07"": 11, ""C08"": 6, ""C15"": 7, ""C16"": 26}"
