level,item_id,item_name,strategy,selected_model,selected_condition_id,selection_n,selection_frequency,model_entropy,condition_entropy,joint_entropy
route,2,情绪低落、抑郁或无望,WithinAI_GLM,GLM-5.2,3,4,0.08,,,
route,2,情绪低落、抑郁或无望,WithinAI_GLM,GLM-5.2,11,46,0.92,,,
route,2,情绪低落、抑郁或无望,WithinAI_Qwen,Qwen3.7-Max,4,18,0.36,,,
route,2,情绪低落、抑郁或无望,WithinAI_Qwen,Qwen3.7-Max,11,29,0.58,,,
route,2,情绪低落、抑郁或无望,WithinAI_Qwen,Qwen3.7-Max,12,3,0.06,,,
route,3,睡眠问题,CrossAI,DeepSeek-V4-Pro,3,10,0.2,,,
route,3,睡眠问题,CrossAI,DeepSeek-V4-Pro,4,2,0.04,,,
route,3,睡眠问题,CrossAI,DeepSeek-V4-Pro,11,1,0.02,,,
route,3,睡眠问题,CrossAI,GLM-5.2,3,19,0.38,,,
route,3,睡眠问题,CrossAI,GLM-5.2,4,4,0.08,,,
route,3,睡眠问题,CrossAI,GLM-5.2,7,1,0.02,,,
route,3,睡眠问题,CrossAI,Qwen3.7-Max,3,10,0.2,,,
route,3,睡眠问题,CrossAI,Qwen3.7-Max,11,3,0.06,,,
route,3,睡眠问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,37,0.74,,,
route,3,睡眠问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,4,7,0.14,,,
route,3,睡眠问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,6,0.12,,,
route,3,睡眠问题,WithinAI_GLM,GLM-5.2,3,35,0.7,,,
route,3,睡眠问题,WithinAI_GLM,GLM-5.2,4,14,0.28,,,
route,3,睡眠问题,WithinAI_GLM,GLM-5.2,7,1,0.02,,,
route,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,3,21,0.42,,,
route,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,7,1,0.02,,,
route,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,11,18,0.36,,,
route,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,12,6,0.12,,,
route,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,15,4,0.08,,,
route,4,疲劳或精力不足,CrossAI,DeepSeek-V4-Pro,7,13,0.26,,,
route,4,疲劳或精力不足,CrossAI,GLM-5.2,3,34,0.68,,,
route,4,疲劳或精力不足,CrossAI,GLM-5.2,11,1,0.02,,,
route,4,疲劳或精力不足,CrossAI,GLM-5.2,15,1,0.02,,,
route,4,疲劳或精力不足,CrossAI,Qwen3.7-Max,7,1,0.02,,,
route,4,疲劳或精力不足,WithinAI_DeepSeek,DeepSeek-V4-Pro,7,40,0.8,,,
route,4,疲劳或精力不足,WithinAI_DeepSeek,DeepSeek-V4-Pro,12,8,0.16,,,
route,4,疲劳或精力不足,WithinAI_DeepSeek,DeepSeek-V4-Pro,15,2,0.04,,,
route,4,疲劳或精力不足,WithinAI_GLM,GLM-5.2,3,46,0.92,,,
route,4,疲劳或精力不足,WithinAI_GLM,GLM-5.2,11,2,0.04,,,
route,4,疲劳或精力不足,WithinAI_GLM,GLM-5.2,12,1,0.02,,,
route,4,疲劳或精力不足,WithinAI_GLM,GLM-5.2,15,1,0.02,,,
route,4,疲劳或精力不足,WithinAI_Qwen,Qwen3.7-Max,4,28,0.56,,,
route,4,疲劳或精力不足,WithinAI_Qwen,Qwen3.7-Max,7,20,0.4,,,
route,4,疲劳或精力不足,WithinAI_Qwen,Qwen3.7-Max,15,1,0.02,,,
route,4,疲劳或精力不足,WithinAI_Qwen,Qwen3.7-Max,16,1,0.02,,,
route,5,食欲问题,CrossAI,DeepSeek-V4-Pro,7,3,0.06,,,
route,5,食欲问题,CrossAI,DeepSeek-V4-Pro,8,12,0.24,,,
route,5,食欲问题,CrossAI,DeepSeek-V4-Pro,16,1,0.02,,,
route,5,食欲问题,CrossAI,GLM-5.2,3,7,0.14,,,
route,5,食欲问题,CrossAI,GLM-5.2,4,2,0.04,,,
route,5,食欲问题,CrossAI,GLM-5.2,8,1,0.02,,,
route,5,食欲问题,CrossAI,GLM-5.2,11,1,0.02,,,
route,5,食欲问题,CrossAI,GLM-5.2,12,1,0.02,,,
route,5,食欲问题,CrossAI,GLM-5.2,15,21,0.42,,,
route,5,食欲问题,CrossAI,GLM-5.2,16,1,0.02,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,1,0.02,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,7,18,0.36,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,8,20,0.4,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,2,0.04,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,12,4,0.08,,,
route,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,16,5,0.1,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,3,12,0.24,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,4,2,0.04,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,8,1,0.02,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,11,2,0.04,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,12,1,0.02,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,15,31,0.62,,,
route,5,食欲问题,WithinAI_GLM,GLM-5.2,16,1,0.02,,,
route,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,4,8,0.16,,,
route,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,7,11,0.22,,,
route,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,8,11,0.22,,,
route,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,15,14,0.28,,,
route,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,16,6,0.12,,,
route,6,自我评价低或让家人失望,CrossAI,GLM-5.2,3,18,0.36,,,
route,6,自我评价低或让家人失望,CrossAI,GLM-5.2,7,26,0.52,,,
route,6,自我评价低或让家人失望,CrossAI,GLM-5.2,11,6,0.12,,,
route,6,自我评价低或让家人失望,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,2,0.04,,,
route,6,自我评价低或让家人失望,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,48,0.96,,,
route,6,自我评价低或让家人失望,WithinAI_GLM,GLM-5.2,3,18,0.36,,,
route,6,自我评价低或让家人失望,WithinAI_GLM,GLM-5.2,7,26,0.52,,,
route,6,自我评价低或让家人失望,WithinAI_GLM,GLM-5.2,11,6,0.12,,,
route,6,自我评价低或让家人失望,WithinAI_Qwen,Qwen3.7-Max,7,50,1.0,,,
route,7,注意力困难,CrossAI,DeepSeek-V4-Pro,4,8,0.16,,,
route,7,注意力困难,CrossAI,DeepSeek-V4-Pro,7,17,0.34,,,
route,7,注意力困难,CrossAI,GLM-5.2,3,3,0.06,,,
route,7,注意力困难,CrossAI,GLM-5.2,4,10,0.2,,,
route,7,注意力困难,CrossAI,GLM-5.2,15,9,0.18,,,
route,7,注意力困难,CrossAI,Qwen3.7-Max,3,1,0.02,,,
route,7,注意力困难,CrossAI,Qwen3.7-Max,8,1,0.02,,,
route,7,注意力困难,CrossAI,Qwen3.7-Max,16,1,0.02,,,
route,7,注意力困难,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,1,0.02,,,
route,7,注意力困难,WithinAI_DeepSeek,DeepSeek-V4-Pro,4,9,0.18,,,
route,7,注意力困难,WithinAI_DeepSeek,DeepSeek-V4-Pro,7,39,0.78,,,
route,7,注意力困难,WithinAI_DeepSeek,DeepSeek-V4-Pro,8,1,0.02,,,
route,7,注意力困难,WithinAI_GLM,GLM-5.2,3,6,0.12,,,
route,7,注意力困难,WithinAI_GLM,GLM-5.2,4,30,0.6,,,
route,7,注意力困难,WithinAI_GLM,GLM-5.2,12,1,0.02,,,
route,7,注意力困难,WithinAI_GLM,GLM-5.2,15,12,0.24,,,
route,7,注意力困难,WithinAI_GLM,GLM-5.2,16,1,0.02,,,
route,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,3,2,0.04,,,
route,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,4,4,0.08,,,
route,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,8,33,0.66,,,
route,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,15,1,0.02,,,
route,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,16,10,0.2,,,
route,8,动作或语速改变,CrossAI,DeepSeek-V4-Pro,3,15,0.3,,,
route,8,动作或语速改变,CrossAI,DeepSeek-V4-Pro,4,2,0.04,,,
route,8,动作或语速改变,CrossAI,DeepSeek-V4-Pro,11,6,0.12,,,
route,8,动作或语速改变,CrossAI,DeepSeek-V4-Pro,12,2,0.04,,,
route,8,动作或语速改变,CrossAI,GLM-5.2,3,2,0.04,,,
route,8,动作或语速改变,CrossAI,GLM-5.2,4,1,0.02,,,
route,8,动作或语速改变,CrossAI,GLM-5.2,7,8,0.16,,,
route,8,动作或语速改变,CrossAI,GLM-5.2,11,4,0.08,,,
route,8,动作或语速改变,CrossAI,GLM-5.2,12,9,0.18,,,
route,8,动作或语速改变,CrossAI,Qwen3.7-Max,4,1,0.02,,,
route,8,动作或语速改变,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,23,0.46,,,
route,8,动作或语速改变,WithinAI_DeepSeek,DeepSeek-V4-Pro,4,10,0.2,,,
route,8,动作或语速改变,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,8,0.16,,,
route,8,动作或语速改变,WithinAI_DeepSeek,DeepSeek-V4-Pro,12,9,0.18,,,
route,8,动作或语速改变,WithinAI_GLM,GLM-5.2,3,2,0.04,,,
route,8,动作或语速改变,WithinAI_GLM,GLM-5.2,4,1,0.02,,,
route,8,动作或语速改变,WithinAI_GLM,GLM-5.2,7,21,0.42,,,
route,8,动作或语速改变,WithinAI_GLM,GLM-5.2,11,3,0.06,,,
route,8,动作或语速改变,WithinAI_GLM,GLM-5.2,12,23,0.46,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,3,12,0.24,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,4,14,0.28,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,8,7,0.14,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,11,3,0.06,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,15,4,0.08,,,
route,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,16,10,0.2,,,
summary,1,兴趣或愉悦感降低,CrossAI,GLM-5.2,11,50,0.44,0.0,1.516147658077609,1.516147658077609
summary,1,兴趣或愉悦感降低,WithinAI_DeepSeek,DeepSeek-V4-Pro,15,50,0.64,0.0,0.9426831892554923,0.9426831892554923
summary,1,兴趣或愉悦感降低,WithinAI_GLM,GLM-5.2,11,50,0.44,0.0,1.516147658077609,1.516147658077609
summary,1,兴趣或愉悦感降低,WithinAI_Qwen,Qwen3.7-Max,12,50,0.48,0.0,1.6146106293773317,1.6146106293773317
summary,2,情绪低落、抑郁或无望,CrossAI,Qwen3.7-Max,11,50,0.44,1.0783220795483648,1.2122831218130428,2.020240321301031
summary,2,情绪低落、抑郁或无望,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,50,0.66,0.0,1.0345560709981454,1.0345560709981454
summary,2,情绪低落、抑郁或无望,WithinAI_GLM,GLM-5.2,11,50,0.92,0.0,0.4021791902022729,0.4021791902022729
summary,2,情绪低落、抑郁或无望,WithinAI_Qwen,Qwen3.7-Max,11,50,0.58,0.0,1.2299564620382313,1.2299564620382313
summary,3,睡眠问题,CrossAI,GLM-5.2,3,50,0.38,1.5188455359952018,1.0510469589756322,2.405774746667948
summary,3,睡眠问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,50,0.74,0.0,1.0856355100346986,1.0856355100346986
summary,3,睡眠问题,WithinAI_GLM,GLM-5.2,3,50,0.7,0.0,0.987298699737119,0.987298699737119
summary,3,睡眠问题,WithinAI_Qwen,Qwen3.7-Max,3,50,0.42,0.0,1.8277143716018742,1.8277143716018742
summary,4,疲劳或精力不足,CrossAI,GLM-5.2,3,50,0.68,0.9593958620195758,1.1183220795483648,1.22226713100781
summary,4,疲劳或精力不足,WithinAI_DeepSeek,DeepSeek-V4-Pro,7,50,0.8,0.0,0.8663137138648348,0.8663137138648348
summary,4,疲劳或精力不足,WithinAI_GLM,GLM-5.2,3,50,0.92,0.0,0.5221791902022727,0.5221791902022727
summary,4,疲劳或精力不足,WithinAI_Qwen,Qwen3.7-Max,4,50,0.56,0.0,1.2229661954675215,1.2229661954675215
summary,5,食欲问题,CrossAI,GLM-5.2,15,50,0.42,0.9043814577244939,2.268841106359628,2.410564432903234
summary,5,食欲问题,WithinAI_DeepSeek,DeepSeek-V4-Pro,8,50,0.4,0.0,1.9817191418118112,1.9817191418118112
summary,5,食欲问题,WithinAI_GLM,GLM-5.2,15,50,0.62,0.0,1.6318634771617846,1.6318634771617846
summary,5,食欲问题,WithinAI_Qwen,Qwen3.7-Max,15,50,0.28,0.0,2.2654513993116456,2.2654513993116456
summary,6,自我评价低或让家人失望,CrossAI,GLM-5.2,7,50,0.52,0.0,1.3882590357355857,1.3882590357355857
summary,6,自我评价低或让家人失望,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,50,0.96,0.0,0.24229218908241482,0.24229218908241482
summary,6,自我评价低或让家人失望,WithinAI_GLM,GLM-5.2,7,50,0.52,0.0,1.3882590357355857,1.3882590357355857
summary,6,自我评价低或让家人失望,WithinAI_Qwen,Qwen3.7-Max,7,50,1.0,0.0,0.0,0.0
summary,7,注意力困难,CrossAI,DeepSeek-V4-Pro,4,50,0.34,1.2646804326436822,2.022359322970761,2.444048954469251
summary,7,注意力困难,WithinAI_DeepSeek,DeepSeek-V4-Pro,7,50,0.78,0.0,0.9506559588025546,0.9506559588025546
summary,7,注意力困难,WithinAI_GLM,GLM-5.2,4,50,0.6,0.0,1.5291353321499974,1.5291353321499974
summary,7,注意力困难,WithinAI_Qwen,Qwen3.7-Max,8,50,0.66,0.0,1.450170452020673,1.450170452020673
summary,8,动作或语速改变,CrossAI,DeepSeek-V4-Pro,3,50,0.3,1.1211460945412075,2.1886582486719317,2.8310070107460144
summary,8,动作或语速改变,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,50,0.46,0.0,1.84804557075141,1.84804557075141
summary,8,动作或语速改变,WithinAI_GLM,GLM-5.2,12,50,0.46,0.0,1.5831466223781503,1.5831466223781503
summary,8,动作或语速改变,WithinAI_Qwen,Qwen3.7-Max,4,50,0.28,0.0,2.404892753316712,2.404892753316712
